episodio;resultado;pasos;tiempo_s;distancia_final_m;energia_total;tasa_exito_acum
1;SUCCESS;1265;12.64;1.98;3484.79;1.000
2;STUCK;1500;15.00;7.27;3217.92;0.500
3;SUCCESS;718;7.18;1.99;2154.00;0.667
4;STUCK;700;7.00;16.57;724.83;0.500
5;SUCCESS;714;7.14;2.00;2142.00;0.600
6;SUCCESS;421;4.21;2.00;978.00;0.667
7;SUCCESS;2014;20.14;2.00;4772.28;0.714
8;SUCCESS;1440;14.40;1.99;4108.76;0.750
9;SUCCESS;611;6.11;1.99;1696.20;0.778
10;SUCCESS;233;2.33;1.99;699.00;0.800
11;SUCCESS;822;8.22;1.99;2466.00;0.818
12;SUCCESS;1637;16.37;2.00;4911.00;0.833
13;STUCK;1100;11.00;7.93;1176.01;0.769
14;SUCCESS;531;5.31;1.99;1290.90;0.786
15;STUCK;1300;13.00;12.68;2710.63;0.733
16;STUCK;900;9.00;11.50;1584.81;0.688
17;SUCCESS;520;5.20;2.00;1202.49;0.706
18;SUCCESS;813;8.13;1.99;2249.00;0.722
19;SUCCESS;385;3.85;1.99;1155.00;0.737
20;SUCCESS;900;9.00;2.00;2363.70;0.750
21;SUCCESS;1029;10.29;1.99;3087.00;0.762
22;SUCCESS;915;9.15;1.99;2342.20;0.773
23;SUCCESS;1189;11.89;1.99;3196.50;0.783
24;SUCCESS;1157;11.57;2.00;3347.50;0.792
25;SUCCESS;1081;10.81;1.99;3243.00;0.800
26;SUCCESS;1962;19.62;1.99;5564.92;0.808
27;SUCCESS;523;5.23;2.00;1569.00;0.815
28;SUCCESS;1130;11.30;2.00;2858.00;0.821
29;SUCCESS;869;8.69;2.00;2272.60;0.828
30;SUCCESS;1209;12.09;2.00;2948.60;0.833
31;SUCCESS;1264;12.64;2.00;3083.31;0.839
32;SUCCESS;510;5.10;1.99;1530.00;0.844
33;STUCK;800;8.00;14.62;841.84;0.818
34;SUCCESS;359;3.59;1.99;1077.00;0.824
35;SUCCESS;1524;15.24;2.00;4233.80;0.829
36;SUCCESS;672;6.72;1.99;1708.20;0.833
37;SUCCESS;1137;11.37;1.99;2984.99;0.838
38;SUCCESS;805;8.05;1.98;2251.60;0.842
39;STUCK;1600;16.00;10.21;2651.14;0.821
40;SUCCESS;242;2.42;1.99;726.00;0.825
41;SUCCESS;1274;12.74;2.00;3481.90;0.829
42;SUCCESS;1286;12.86;2.00;3612.90;0.833
43;SUCCESS;954;9.54;1.98;2862.00;0.837
44;SUCCESS;493;4.93;1.99;1479.00;0.841
45;SUCCESS;1602;16.02;2.00;4340.93;0.844
46;SUCCESS;265;2.65;1.99;795.00;0.848
47;SUCCESS;427;4.27;1.99;1281.00;0.851
48;SUCCESS;1211;12.11;2.00;3192.20;0.854
49;SUCCESS;1380;13.80;1.99;2798.60;0.857
50;SUCCESS;650;6.50;1.99;1655.50;0.860
51;SUCCESS;415;4.15;1.99;1245.00;0.863
52;SUCCESS;335;3.35;2.00;1005.00;0.865
53;STUCK;900;9.00;11.33;1701.20;0.849
54;SUCCESS;625;6.25;2.00;1875.00;0.852
55;SUCCESS;866;8.66;1.98;2172.40;0.855
