episodio;resultado;pasos;tiempo_s;distancia_final_m;energia_total;tasa_exito_acum
1;SUCCESS;560;5.59;1.99;1590.70;1.000
2;SUCCESS;1663;16.63;2.00;4183.40;1.000
3;SUCCESS;168;1.68;1.99;495.60;1.000
4;SUCCESS;1423;14.23;1.99;3935.75;1.000
5;COLLISION;708;7.08;10.34;1880.13;0.800
6;SUCCESS;861;8.61;1.99;2345.50;0.833
7;SUCCESS;1061;10.61;1.99;2527.50;0.857
8;SUCCESS;1423;14.23;1.98;4268.93;0.875
9;SUCCESS;1710;17.10;1.98;5026.82;0.889
10;FALL;37;0.37;17.96;66.36;0.800
11;FALL;29;0.29;18.34;64.05;0.727
12;SUCCESS;868;8.68;1.99;2604.00;0.750
13;STUCK;1400;14.00;8.18;2444.68;0.692
14;SUCCESS;878;8.78;2.00;2634.00;0.714
15;COLLISION;397;3.97;13.92;542.44;0.667
16;SUCCESS;646;6.46;1.98;1728.91;0.688
17;FALL;13;0.13;13.26;28.47;0.647
18;FALL;5;0.05;17.92;5.70;0.611
19;SUCCESS;982;9.82;2.00;2511.19;0.632
20;FALL;11;0.11;7.55;12.10;0.600
21;SUCCESS;579;5.79;1.98;1554.60;0.619
22;SUCCESS;984;9.84;2.00;2939.14;0.636
23;SUCCESS;375;3.75;1.99;1125.00;0.652
24;SUCCESS;1704;17.04;2.00;4990.12;0.667
25;FALL;7;0.07;20.00;7.70;0.640
26;SUCCESS;883;8.83;1.99;2649.00;0.654
27;SUCCESS;1018;10.18;1.99;2567.60;0.667
28;SUCCESS;1099;10.99;1.99;3297.00;0.679
29;FALL;5;0.05;8.78;5.60;0.655
30;SUCCESS;891;8.91;1.99;2673.00;0.667
31;SUCCESS;958;9.58;1.99;2372.39;0.677
32;SUCCESS;505;5.05;2.00;1515.00;0.688
33;SUCCESS;738;7.38;1.99;2200.03;0.697
34;SUCCESS;970;9.70;1.99;2596.42;0.706
35;SUCCESS;842;8.42;1.99;2526.00;0.714
36;STUCK;1800;18.00;3.42;5242.16;0.694
37;SUCCESS;989;9.89;1.99;2967.00;0.703
38;SUCCESS;752;7.52;2.00;1819.00;0.711
39;SUCCESS;969;9.69;1.99;2907.00;0.718
40;SUCCESS;1551;15.51;2.00;4388.90;0.725
41;SUCCESS;713;7.13;1.99;1717.20;0.732
42;SUCCESS;1165;11.65;1.99;3219.50;0.738
43;SUCCESS;938;9.38;1.99;2814.00;0.744
44;SUCCESS;675;6.75;1.99;1608.90;0.750
45;STUCK;700;7.00;13.37;922.73;0.733
46;SUCCESS;409;4.09;2.00;896.40;0.739
47;SUCCESS;1056;10.56;2.00;3040.70;0.745
48;SUCCESS;847;8.47;1.99;2083.08;0.750
49;STUCK;900;9.00;9.31;2091.81;0.735
50;SUCCESS;427;4.27;1.99;1281.00;0.740
51;SUCCESS;1432;14.32;1.99;4153.84;0.745
52;SUCCESS;785;7.85;1.99;2355.00;0.750
53;COLLISION;404;4.04;13.28;839.46;0.736
54;FALL;7;0.07;15.91;9.70;0.722
55;SUCCESS;1296;12.96;1.99;3864.62;0.727
56;SUCCESS;620;6.20;1.99;1860.00;0.732
57;SUCCESS;2329;23.29;1.99;6686.22;0.737
58;FALL;45;0.45;10.19;95.29;0.724
59;STUCK;2100;21.00;12.32;5487.21;0.712
60;SUCCESS;344;3.44;1.99;963.60;0.717
61;COLLISION;680;6.80;13.30;1836.75;0.705
62;SUCCESS;1256;12.56;1.99;3176.61;0.710
63;SUCCESS;918;9.18;2.00;2399.59;0.714
64;SUCCESS;230;2.30;1.99;690.00;0.719
65;SUCCESS;1313;13.13;1.99;3939.00;0.723
66;STUCK;900;9.00;8.92;1190.01;0.712
67;SUCCESS;1203;12.03;1.99;3160.28;0.716
68;SUCCESS;1025;10.25;2.00;3063.00;0.721
69;SUCCESS;1075;10.75;1.99;2569.50;0.725
70;SUCCESS;718;7.18;1.98;1886.10;0.729
71;SUCCESS;292;2.92;1.99;876.00;0.732
72;SUCCESS;1639;16.39;1.99;4575.00;0.736
73;FALL;10;0.10;7.06;20.76;0.726
74;SUCCESS;1512;15.12;1.99;4443.38;0.730
75;SUCCESS;1238;12.38;1.99;3566.90;0.733
76;SUCCESS;532;5.32;1.99;1596.00;0.737
77;SUCCESS;697;6.97;2.00;1804.10;0.740
78;SUCCESS;807;8.07;1.99;2145.62;0.744
79;SUCCESS;1174;11.74;1.98;3343.57;0.747
80;FALL;10;0.10;11.15;20.05;0.738
81;FALL;16;0.16;15.02;33.42;0.728
82;SUCCESS;328;3.28;2.00;984.00;0.732
83;STUCK;1000;10.00;8.34;1991.11;0.723
84;FALL;152;1.52;14.33;229.86;0.714
85;STUCK;2200;22.00;12.06;6271.94;0.706
86;FALL;34;0.34;17.77;37.18;0.698
87;SUCCESS;1259;12.59;1.99;3660.33;0.701
88;SUCCESS;1224;12.24;1.99;3426.90;0.705
89;FALL;14;0.14;19.47;15.40;0.697
90;SUCCESS;469;4.69;2.00;1407.00;0.700
91;SUCCESS;1231;12.31;1.98;3693.00;0.703
92;STUCK;600;6.00;18.93;660.00;0.696
93;SUCCESS;654;6.54;2.00;1924.65;0.699
94;STUCK;1900;19.00;5.83;4817.90;0.691
95;SUCCESS;1405;14.05;1.99;3769.23;0.695
96;SUCCESS;954;9.54;1.99;2803.10;0.698
97;SUCCESS;2109;21.09;2.00;5440.08;0.701
98;SUCCESS;646;6.46;2.00;1938.00;0.704
99;SUCCESS;241;2.41;1.99;723.00;0.707
100;COLLISION;460;4.60;10.30;1100.18;0.700
