episodio;resultado;pasos;tiempo_s;distancia_final_m;energia_total;tasa_exito_acum
1;FALL;12;0.11;9.63;15.10;0.000
2;FALL;27;0.27;17.31;42.56;0.000
3;COLLISION;371;3.71;9.09;1060.54;0.000
4;SUCCESS;1251;12.51;1.99;3515.50;0.250
5;SUCCESS;891;8.91;1.99;2268.30;0.400
6;FALL;8;0.08;13.17;8.80;0.333
7;FALL;7;0.07;13.44;7.70;0.286
8;FALL;63;0.63;10.62;95.74;0.250
9;FALL;32;0.32;17.86;67.57;0.222
10;SUCCESS;824;8.24;2.00;2140.60;0.300
11;SUCCESS;878;8.78;1.99;1953.18;0.364
12;FALL;29;0.29;15.32;31.90;0.333
13;SUCCESS;1120;11.20;2.00;2730.80;0.385
14;FALL;4;0.04;16.64;7.87;0.357
15;COLLISION;503;5.03;8.40;1380.67;0.333
16;FALL;7;0.07;14.42;7.70;0.313
17;SUCCESS;985;9.85;2.00;2955.00;0.353
18;COLLISION;88;0.88;15.55;169.13;0.333
19;SUCCESS;928;9.28;2.00;2763.95;0.368
20;SUCCESS;430;4.30;1.99;1008.80;0.400
21;SUCCESS;89366;893.66;2.00;166381.00;0.429
22;SUCCESS;1;0.01;1.50;3.00;0.455
23;SUCCESS;9;0.09;1.56;9.90;0.478
24;FALL;24;0.24;9.73;35.55;0.458
25;COLLISION;462;4.62;13.14;1126.33;0.440
26;FALL;7;0.07;16.78;7.70;0.423
27;SUCCESS;796;7.96;2.00;2190.40;0.444
28;SUCCESS;2529;25.29;2.00;7349.50;0.464
29;SUCCESS;2092;20.92;2.00;6276.00;0.483
30;SUCCESS;715;7.15;1.99;2145.00;0.500
31;SUCCESS;631;6.31;2.00;1226.85;0.516
32;SUCCESS;456;4.56;1.99;1368.00;0.531
33;FALL;8;0.08;9.02;16.11;0.515
34;FALL;35;0.35;13.08;42.81;0.500
35;SUCCESS;1029;10.29;1.99;2758.30;0.514
36;FALL;7;0.07;16.86;12.33;0.500
37;FALL;7;0.07;16.07;15.29;0.486
38;SUCCESS;486;4.86;1.99;1384.15;0.500
39;FALL;72;0.72;16.11;134.18;0.487
40;COLLISION;154;1.54;10.96;298.34;0.475
41;SUCCESS;921;9.21;1.99;2540.70;0.488
42;SUCCESS;1390;13.90;2.00;3729.20;0.500
43;SUCCESS;830;8.30;2.00;2178.40;0.512
44;FALL;5;0.05;10.20;5.50;0.500
45;FALL;31;0.31;14.02;58.98;0.489
46;SUCCESS;1606;16.06;2.00;4495.61;0.500
47;COLLISION;431;4.31;7.31;944.99;0.489
48;SUCCESS;1154;11.54;1.99;3273.90;0.500
49;SUCCESS;988;9.88;2.00;2359.80;0.510
50;FALL;7;0.07;8.20;7.70;0.500
51;FALL;17;0.17;18.34;18.70;0.490
52;FALL;7;0.07;11.93;14.54;0.481
53;SUCCESS;945;9.45;2.00;2733.44;0.491
54;SUCCESS;1118;11.18;1.99;3104.41;0.500
55;SUCCESS;1545;15.45;1.99;4629.47;0.509
56;SUCCESS;544;5.44;1.99;1632.00;0.518
57;FALL;26;0.26;16.68;48.90;0.509
58;FALL;6;0.06;9.70;12.72;0.500
59;FALL;24;0.24;17.65;26.40;0.492
60;SUCCESS;535;5.35;1.99;1173.70;0.500
61;FALL;86;0.86;12.05;147.24;0.492
62;SUCCESS;406;4.06;2.00;1218.00;0.500
63;SUCCESS;643;6.43;1.99;1929.00;0.508
64;SUCCESS;271;2.71;1.99;813.00;0.516
65;STUCK;1300;13.00;12.91;3597.84;0.508
66;STUCK;3900;39.00;9.49;11161.14;0.500
67;SUCCESS;1296;12.96;1.99;3759.59;0.507
68;FALL;10;0.10;16.26;22.19;0.500
69;SUCCESS;636;6.36;1.99;1908.00;0.507
70;SUCCESS;678;6.78;1.99;1739.93;0.514
71;FALL;43;0.43;6.73;87.79;0.507
72;STUCK;1000;10.00;10.08;1727.54;0.500
73;SUCCESS;593;5.93;1.99;1526.77;0.507
74;FALL;8;0.08;14.63;16.30;0.500
75;STUCK;1400;14.00;14.93;3330.31;0.493
76;SUCCESS;961;9.61;2.00;2409.58;0.500
77;SUCCESS;671;6.71;2.00;1623.91;0.506
78;STUCK;1100;11.00;8.39;1558.84;0.500
79;STUCK;1100;11.00;5.23;2979.59;0.494
80;FALL;40;0.40;11.26;82.48;0.488
81;SUCCESS;562;5.62;1.99;1281.71;0.494
82;SUCCESS;337;3.37;1.99;1011.00;0.500
83;COLLISION;289;2.89;4.84;529.19;0.494
84;COLLISION;0;0.00;19.41;0.00;0.488
85;SUCCESS;579;5.79;1.99;1313.02;0.494
86;SUCCESS;767;7.67;2.00;2301.00;0.500
87;FALL;24;0.24;15.63;51.06;0.494
88;FALL;12;0.12;15.17;24.91;0.489
89;FALL;14;0.14;20.11;15.40;0.483
90;SUCCESS;287;2.87;1.98;765.80;0.489
91;SUCCESS;540;5.40;1.99;1620.00;0.495
92;SUCCESS;1341;13.41;2.00;3774.10;0.500
93;SUCCESS;752;7.52;2.00;2003.30;0.505
94;FALL;39;0.39;18.43;44.43;0.500
95;FALL;18;0.18;17.21;19.80;0.495
96;STUCK;1500;15.00;7.60;3982.18;0.490
97;STUCK;2500;25.00;7.50;6963.89;0.485
98;SUCCESS;332;3.32;1.98;975.73;0.490
99;COLLISION;828;8.28;6.00;2086.39;0.485
100;SUCCESS;305;3.05;1.98;865.60;0.490
