episodio;resultado;pasos;tiempo_s;distancia_final_m;energia_total;tasa_exito_acum
1;SUCCESS;1204;12.03;2.00;3436.10;1.000
2;FALL;483;4.83;11.05;1253.74;0.500
3;COLLISION;848;8.48;8.23;1616.11;0.333
4;SUCCESS;656;6.56;1.99;1927.89;0.500
5;SUCCESS;1870;18.70;2.00;5384.55;0.600
6;FALL;1314;13.14;11.01;2499.15;0.500
7;SUCCESS;801;8.01;1.98;2382.30;0.571
8;STUCK;800;8.00;14.44;879.99;0.500
9;FALL;123;1.23;7.12;287.17;0.444
10;SUCCESS;399;3.99;2.00;1197.00;0.500
11;STUCK;800;8.00;8.49;1166.66;0.455
12;FALL;885;8.85;5.29;2561.83;0.417
13;FALL;1195;11.95;12.74;3065.63;0.385
14;SUCCESS;585;5.85;2.00;1462.40;0.429
15;FALL;627;6.27;15.47;1498.93;0.400
16;FALL;1228;12.28;13.85;3310.49;0.375
17;FALL;1396;13.96;2.21;3873.68;0.353
18;FALL;320;3.20;8.97;903.49;0.333
19;SUCCESS;1245;12.45;2.00;3124.33;0.368
20;SUCCESS;478;4.78;1.99;1433.47;0.400
21;STUCK;1100;11.00;19.76;2180.87;0.381
22;STUCK;600;6.00;17.27;682.11;0.364
23;SUCCESS;1307;13.07;1.98;3919.39;0.391
24;STUCK;800;8.00;14.17;1217.12;0.375
25;FALL;364;3.64;14.05;547.42;0.360
26;SUCCESS;708;7.08;1.98;1996.70;0.385
27;FALL;236;2.36;17.44;389.52;0.370
28;FALL;7;0.07;7.62;15.07;0.357
29;FALL;698;6.98;4.58;2016.24;0.345
30;FALL;344;3.44;7.35;919.99;0.333
31;SUCCESS;799;7.99;1.99;1988.50;0.355
32;FALL;234;2.34;16.31;304.96;0.344
33;FALL;19;0.19;11.51;27.07;0.333
34;FALL;192;1.92;8.60;298.52;0.324
35;SUCCESS;857;8.57;1.99;2077.00;0.343
36;SUCCESS;253;2.53;1.99;759.00;0.361
37;SUCCESS;2570;25.70;2.00;7471.54;0.378
38;FALL;566;5.66;5.07;1338.36;0.368
39;STUCK;600;6.00;12.24;660.00;0.359
40;SUCCESS;681;6.81;1.99;2043.00;0.375
41;SUCCESS;501;5.01;1.99;1503.00;0.390
42;SUCCESS;510;5.10;1.99;1530.00;0.405
43;FALL;465;4.65;17.41;807.13;0.395
44;FALL;162;1.62;13.30;371.45;0.386
45;FALL;8;0.08;6.83;8.80;0.378
46;SUCCESS;593;5.93;1.99;1779.00;0.391
47;FALL;17;0.17;18.68;45.84;0.383
48;FALL;248;2.48;17.30;272.80;0.375
49;SUCCESS;2671;26.71;2.00;6669.52;0.388
50;SUCCESS;1143;11.43;1.99;2737.40;0.400
51;SUCCESS;829;8.29;1.99;2484.26;0.412
52;FALL;4;0.04;6.29;4.40;0.404
53;SUCCESS;1587;15.87;1.99;4476.56;0.415
54;FALL;611;6.11;13.20;1665.20;0.407
55;STUCK;1300;13.00;5.59;2058.01;0.400
56;FALL;553;5.53;6.62;1096.03;0.393
57;SUCCESS;730;7.30;1.99;1846.10;0.404
58;SUCCESS;1274;12.74;1.99;3529.16;0.414
59;FALL;103;1.03;17.03;227.84;0.407
60;SUCCESS;654;6.54;2.00;1794.80;0.417
61;FALL;11;0.11;19.17;19.06;0.410
62;SUCCESS;970;9.70;2.00;2909.53;0.419
63;FALL;64;0.64;11.08;70.40;0.413
64;FALL;165;1.65;8.54;282.20;0.406
65;SUCCESS;952;9.52;1.99;2177.58;0.415
66;FALL;72;0.72;17.33;169.05;0.409
67;SUCCESS;748;7.48;1.99;1696.80;0.418
68;STUCK;600;6.00;10.72;660.00;0.412
69;FALL;373;3.73;7.98;868.81;0.406
70;SUCCESS;1471;14.71;1.99;3901.72;0.414
71;FALL;575;5.75;13.83;1121.16;0.408
72;FALL;288;2.88;10.40;394.14;0.403
73;SUCCESS;795;7.95;1.99;1951.80;0.411
74;FALL;830;8.30;2.83;2156.63;0.405
75;FALL;955;9.55;4.72;1799.42;0.400
76;FALL;448;4.48;8.10;937.26;0.395
77;FALL;738;7.38;4.60;1917.77;0.390
78;SUCCESS;763;7.63;1.98;2284.01;0.397
79;FALL;324;3.24;12.31;900.72;0.392
80;FALL;630;6.30;3.13;1395.74;0.388
81;SUCCESS;1341;13.41;1.99;3872.27;0.395
82;SUCCESS;1328;13.28;2.00;3972.72;0.402
83;SUCCESS;1676;16.76;2.00;3804.35;0.410
84;STUCK;1000;10.00;22.47;2369.46;0.405
85;FALL;135;1.35;25.58;188.23;0.400
86;SUCCESS;1603;16.03;1.99;4504.28;0.407
87;SUCCESS;518;5.18;2.00;1554.00;0.414
88;FALL;131;1.31;9.22;267.78;0.409
89;SUCCESS;1948;19.48;1.99;5353.60;0.416
90;SUCCESS;1011;10.11;1.99;2882.90;0.422
91;SUCCESS;1858;18.58;2.00;4946.52;0.429
92;FALL;619;6.19;7.59;1625.84;0.424
93;SUCCESS;702;7.02;2.00;2106.00;0.430
94;SUCCESS;342;3.42;1.99;1023.58;0.436
95;STUCK;1000;10.00;8.49;1660.28;0.432
96;FALL;27;0.27;8.08;74.96;0.427
97;FALL;210;2.10;16.87;241.23;0.423
98;SUCCESS;986;9.86;1.99;2792.70;0.429
99;FALL;259;2.59;7.65;531.44;0.424
100;FALL;1605;16.05;5.10;3899.20;0.420
