episodio;resultado;pasos;tiempo_s;distancia_final_m;energia_total;tasa_exito_acum
1;SUCCESS;658;6.57;2.00;1893.57;1.000
2;SUCCESS;1256;12.56;1.99;3357.56;1.000
3;SUCCESS;144;1.44;2.00;426.17;1.000
4;COLLISION;822;8.22;11.51;1685.66;0.750
5;COLLISION;679;6.79;10.45;1803.61;0.600
6;SUCCESS;857;8.57;1.99;2350.60;0.667
7;SUCCESS;1030;10.30;1.99;2495.30;0.714
8;SUCCESS;1302;13.02;1.98;3906.00;0.750
9;SUCCESS;1677;16.77;1.99;4721.00;0.778
10;FALL;13;0.13;18.45;28.52;0.700
11;FALL;44;0.44;18.23;89.43;0.636
12;SUCCESS;862;8.62;1.99;2586.00;0.667
13;COLLISION;553;5.53;10.52;903.93;0.615
14;SUCCESS;796;7.96;1.99;2388.00;0.643
15;SUCCESS;1241;12.41;1.98;3524.89;0.667
16;SUCCESS;644;6.44;1.98;1723.81;0.688
17;FALL;17;0.17;12.78;36.64;0.647
18;FALL;10;0.10;18.23;11.00;0.611
19;SUCCESS;969;9.69;1.98;2491.08;0.632
20;FALL;78;0.78;7.58;91.82;0.600
21;SUCCESS;575;5.75;1.99;1550.20;0.619
22;SUCCESS;1585;15.85;2.00;4601.71;0.636
23;SUCCESS;379;3.79;1.99;1137.00;0.652
24;SUCCESS;2233;22.33;2.00;6119.03;0.667
25;FALL;4;0.04;19.77;4.40;0.640
26;SUCCESS;884;8.84;2.00;2652.00;0.654
27;FALL;48;0.48;19.11;58.41;0.630
28;SUCCESS;1109;11.09;1.99;3327.00;0.643
29;FALL;4;0.04;8.86;4.40;0.621
30;SUCCESS;750;7.50;2.00;2246.49;0.633
31;SUCCESS;856;8.56;1.99;2078.58;0.645
32;SUCCESS;509;5.09;1.99;1527.00;0.656
33;SUCCESS;821;8.21;2.00;2438.12;0.667
34;SUCCESS;953;9.53;2.00;2548.00;0.676
35;SUCCESS;845;8.45;1.99;2535.00;0.686
36;STUCK;1700;17.00;3.17;4968.00;0.667
37;SUCCESS;977;9.77;1.99;2931.00;0.676
38;SUCCESS;598;5.98;1.99;1423.99;0.684
39;SUCCESS;970;9.70;1.99;2910.00;0.692
40;SUCCESS;1426;14.26;1.98;4038.60;0.700
41;SUCCESS;716;7.16;1.99;1739.50;0.707
42;SUCCESS;1156;11.56;2.00;3192.50;0.714
43;SUCCESS;937;9.37;1.98;2811.00;0.721
44;SUCCESS;672;6.72;2.00;1599.90;0.727
45;COLLISION;270;2.70;6.65;476.07;0.711
46;SUCCESS;411;4.11;2.00;896.70;0.717
47;SUCCESS;1048;10.48;1.99;3016.70;0.723
48;SUCCESS;770;7.70;1.99;2004.10;0.729
49;STUCK;800;8.00;8.87;2043.86;0.714
50;SUCCESS;426;4.26;2.00;1278.00;0.720
51;SUCCESS;1532;15.32;2.00;4503.13;0.725
52;SUCCESS;836;8.36;1.99;2508.00;0.731
53;COLLISION;424;4.24;13.28;863.53;0.717
54;FALL;21;0.21;17.41;25.00;0.704
55;SUCCESS;1292;12.92;1.99;3850.40;0.709
56;SUCCESS;620;6.20;1.98;1860.00;0.714
57;FALL;63;0.63;23.28;73.58;0.702
58;SUCCESS;649;6.49;1.99;1946.17;0.707
59;STUCK;1600;16.00;11.87;4050.10;0.695
60;SUCCESS;409;4.09;1.99;1152.90;0.700
61;COLLISION;543;5.43;13.19;1445.24;0.689
62;SUCCESS;1317;13.17;1.99;2999.19;0.694
63;SUCCESS;1016;10.16;2.00;2407.23;0.698
64;SUCCESS;234;2.34;1.98;702.00;0.703
65;SUCCESS;1308;13.08;1.99;3924.00;0.708
66;STUCK;900;9.00;8.85;1186.06;0.697
67;SUCCESS;1061;10.61;1.99;2725.10;0.701
68;SUCCESS;1011;10.11;1.99;3023.32;0.706
69;SUCCESS;1082;10.82;2.00;2584.80;0.710
70;SUCCESS;716;7.16;2.00;1880.10;0.714
71;SUCCESS;283;2.83;2.00;849.00;0.718
72;SUCCESS;1626;16.26;1.99;4528.40;0.722
73;FALL;29;0.29;6.60;48.94;0.712
74;SUCCESS;1740;17.40;2.00;4582.55;0.716
75;SUCCESS;2491;24.91;1.98;6398.81;0.720
76;SUCCESS;531;5.31;1.98;1593.00;0.724
77;SUCCESS;710;7.10;1.99;1943.80;0.727
78;SUCCESS;897;8.97;1.99;2616.10;0.731
79;SUCCESS;1068;10.68;1.99;3185.09;0.734
80;SUCCESS;641;6.41;2.00;1923.00;0.738
81;SUCCESS;1290;12.90;1.99;3722.10;0.741
82;SUCCESS;328;3.28;1.99;984.00;0.744
83;STUCK;1000;10.00;8.34;2013.90;0.735
84;FALL;19;0.19;13.56;28.40;0.726
85;SUCCESS;3943;39.43;2.00;11401.77;0.729
86;FALL;6;0.06;18.58;6.60;0.721
87;SUCCESS;1211;12.11;1.99;3597.68;0.724
88;SUCCESS;1029;10.29;2.00;2796.30;0.727
89;SUCCESS;1443;14.43;2.00;4002.61;0.730
90;SUCCESS;373;3.73;1.99;1119.00;0.733
91;SUCCESS;1168;11.68;1.99;3504.00;0.736
92;STUCK;600;6.00;19.44;660.00;0.728
93;SUCCESS;519;5.19;1.99;1520.90;0.731
94;SUCCESS;1522;15.22;1.99;4465.85;0.734
95;SUCCESS;1261;12.61;2.00;3410.29;0.737
96;SUCCESS;1007;10.07;2.00;2946.90;0.740
97;SUCCESS;1356;13.56;2.00;3473.11;0.742
98;SUCCESS;644;6.44;1.99;1932.00;0.745
99;SUCCESS;226;2.26;2.00;678.00;0.747
100;COLLISION;419;4.19;10.18;1074.77;0.740
