episodio;resultado;pasos;tiempo_s;distancia_final_m;energia_total;tasa_exito_acum
1;SUCCESS;1253;12.52;1.99;3579.33;1.000
2;SUCCESS;1730;17.30;1.99;4083.15;1.000
3;SUCCESS;1051;10.51;1.98;2592.66;1.000
4;SUCCESS;1012;10.12;1.99;2730.10;1.000
5;SUCCESS;1261;12.61;1.99;3783.00;1.000
6;SUCCESS;630;6.30;1.99;1508.10;1.000
7;SUCCESS;2045;20.45;1.99;5377.94;1.000
8;SUCCESS;927;9.27;1.99;2592.90;1.000
9;SUCCESS;1321;13.21;1.99;3109.92;1.000
10;SUCCESS;544;5.44;1.99;1464.80;1.000
11;SUCCESS;819;8.19;1.99;1974.40;1.000
12;SUCCESS;1709;17.09;1.99;5127.00;1.000
13;SUCCESS;1092;10.92;1.99;2808.60;1.000
14;SUCCESS;1182;11.82;1.99;3546.00;1.000
15;SUCCESS;1999;19.99;1.99;4985.68;1.000
16;STUCK;1500;15.00;8.86;2709.19;0.938
17;SUCCESS;873;8.73;1.99;2579.12;0.941
18;SUCCESS;760;7.60;2.00;2280.00;0.944
19;SUCCESS;985;9.85;1.98;2868.89;0.947
20;SUCCESS;1462;14.62;2.00;3500.51;0.950
21;SUCCESS;1031;10.31;2.00;3093.00;0.952
22;STUCK;600;6.00;16.53;875.66;0.909
23;SUCCESS;1354;13.54;1.99;4062.00;0.913
24;SUCCESS;1695;16.95;2.00;5048.39;0.917
25;SUCCESS;1122;11.22;1.99;2866.30;0.920
26;SUCCESS;786;7.86;2.00;2213.60;0.923
27;SUCCESS;1210;12.10;2.00;3392.50;0.926
28;SUCCESS;385;3.85;1.99;1155.00;0.929
29;SUCCESS;753;7.53;1.99;2259.00;0.931
30;SUCCESS;685;6.85;1.99;2055.00;0.933
31;SUCCESS;711;7.11;1.98;1806.20;0.935
32;COLLISION;647;6.47;14.29;1113.02;0.906
33;SUCCESS;1032;10.32;1.99;2594.40;0.909
34;SUCCESS;553;5.53;2.00;1659.00;0.912
35;STUCK;2200;22.00;5.78;4282.54;0.886
36;SUCCESS;230;2.30;2.00;690.00;0.889
37;SUCCESS;909;9.09;1.99;2525.60;0.892
38;SUCCESS;933;9.33;1.99;2324.00;0.895
39;STUCK;1200;12.00;10.43;1509.22;0.872
40;SUCCESS;631;6.31;2.00;1893.00;0.875
41;SUCCESS;522;5.22;1.99;1566.00;0.878
42;SUCCESS;481;4.81;2.00;1443.00;0.881
43;SUCCESS;1142;11.42;2.00;3072.60;0.884
44;SUCCESS;830;8.30;1.99;2490.00;0.886
45;SUCCESS;630;6.30;1.99;1352.30;0.889
46;SUCCESS;475;4.75;1.99;1425.00;0.891
47;SUCCESS;1082;10.82;2.00;3246.00;0.894
48;SUCCESS;1140;11.40;1.99;3083.70;0.896
49;SUCCESS;387;3.87;1.99;1024.20;0.898
50;SUCCESS;891;8.91;1.99;2136.70;0.900
51;SUCCESS;404;4.04;1.99;1050.50;0.902
52;SUCCESS;1332;13.32;2.00;3346.22;0.904
53;SUCCESS;1186;11.86;1.99;3459.80;0.906
54;SUCCESS;695;6.95;1.99;2085.00;0.907
55;SUCCESS;609;6.09;2.00;1178.17;0.909
56;SUCCESS;728;7.28;2.00;1817.30;0.911
57;SUCCESS;1030;10.30;2.00;2474.40;0.912
58;SUCCESS;1258;12.58;1.99;3285.83;0.914
59;SUCCESS;1054;10.54;1.98;3162.00;0.915
60;SUCCESS;256;2.56;2.00;768.00;0.917
61;STUCK;600;6.00;18.73;1007.18;0.902
62;SUCCESS;1558;15.58;2.00;4478.51;0.903
63;SUCCESS;1080;10.80;1.99;2626.31;0.905
64;SUCCESS;486;4.86;1.99;1458.00;0.906
65;SUCCESS;759;7.59;1.99;1936.90;0.908
66;SUCCESS;316;3.16;1.99;948.00;0.909
67;SUCCESS;515;5.15;1.99;1252.40;0.910
68;SUCCESS;662;6.62;2.00;1845.40;0.912
69;SUCCESS;640;6.40;1.99;1726.20;0.913
70;SUCCESS;1955;19.55;1.99;4299.46;0.914
