episodio;resultado;pasos;tiempo_s;distancia_final_m;energia_total;tasa_exito_acum
1;SUCCESS;587;5.86;2.00;1464.60;1.000
2;SUCCESS;1071;10.71;1.99;3000.20;1.000
3;SUCCESS;251;2.51;2.00;753.00;1.000
4;SUCCESS;972;9.72;2.00;2490.40;1.000
5;SUCCESS;234;2.34;2.00;702.00;1.000
6;SUCCESS;985;9.85;2.00;2670.00;1.000
7;SUCCESS;901;9.01;1.99;2339.60;1.000
8;SUCCESS;837;8.37;1.99;2245.00;1.000
9;COLLISION;1334;13.34;7.95;2834.15;0.889
10;SUCCESS;529;5.29;2.00;1525.59;0.900
11;SUCCESS;966;9.66;2.00;2898.00;0.909
12;SUCCESS;736;7.36;1.99;2208.00;0.917
13;SUCCESS;1249;12.49;2.00;2725.73;0.923
14;SUCCESS;895;8.95;1.99;2685.00;0.929
15;SUCCESS;275;2.75;2.00;825.00;0.933
16;SUCCESS;1237;12.37;1.99;2992.80;0.938
17;STUCK;1100;11.00;6.57;2112.02;0.882
18;SUCCESS;990;9.90;1.99;2591.90;0.889
19;STUCK;900;9.00;12.50;1841.85;0.842
20;SUCCESS;530;5.30;1.99;1230.90;0.850
21;SUCCESS;1034;10.34;1.99;2410.39;0.857
22;SUCCESS;860;8.60;2.00;2580.00;0.864
23;SUCCESS;830;8.30;2.00;1849.70;0.870
24;SUCCESS;643;6.43;1.99;1699.10;0.875
25;SUCCESS;1262;12.62;1.99;3237.99;0.880
26;SUCCESS;825;8.25;1.99;2475.00;0.885
27;STUCK;1500;15.00;8.78;3344.93;0.852
28;SUCCESS;1820;18.20;1.99;5397.41;0.857
29;SUCCESS;651;6.51;1.98;1447.60;0.862
30;SUCCESS;614;6.14;1.98;1330.90;0.867
31;SUCCESS;806;8.06;1.99;1929.70;0.871
32;SUCCESS;420;4.20;1.99;1260.00;0.875
33;SUCCESS;907;9.07;1.99;2542.67;0.879
34;SUCCESS;1286;12.86;2.00;3362.10;0.882
35;SUCCESS;526;5.26;1.99;1578.00;0.886
36;SUCCESS;968;9.68;1.99;2904.00;0.889
37;SUCCESS;1368;13.68;2.00;4104.00;0.892
38;COLLISION;499;4.99;7.87;855.52;0.868
39;SUCCESS;879;8.79;1.98;2637.00;0.872
40;SUCCESS;1089;10.89;2.00;3267.00;0.875
41;SUCCESS;624;6.24;1.99;1454.00;0.878
42;SUCCESS;1188;11.88;1.99;3244.80;0.881
43;SUCCESS;1749;17.49;1.99;5036.11;0.884
44;SUCCESS;1707;17.07;1.99;4280.13;0.886
45;SUCCESS;538;5.38;1.99;1505.70;0.889
46;SUCCESS;712;7.12;2.00;2136.00;0.891
47;SUCCESS;1085;10.85;1.99;3053.60;0.894
48;SUCCESS;2144;21.44;1.99;5748.77;0.896
49;SUCCESS;1068;10.68;1.99;2863.86;0.898
50;SUCCESS;710;7.10;1.99;1966.60;0.900
51;STUCK;1300;13.00;9.25;2784.72;0.882
52;SUCCESS;997;9.97;1.99;2991.00;0.885
53;STUCK;1400;14.00;14.13;2871.96;0.868
54;SUCCESS;1007;10.07;2.00;2844.30;0.870
55;SUCCESS;1295;12.95;1.99;3857.65;0.873
56;SUCCESS;1960;19.60;1.99;4839.55;0.875
57;SUCCESS;1786;17.86;2.00;4172.77;0.877
58;SUCCESS;538;5.38;1.99;1614.00;0.879
59;SUCCESS;1079;10.79;1.99;2948.20;0.881
60;SUCCESS;429;4.29;2.00;1051.40;0.883
61;SUCCESS;2832;28.32;1.99;8146.66;0.885
62;SUCCESS;408;4.08;1.98;1224.00;0.887
63;SUCCESS;615;6.15;1.99;1845.00;0.889
64;SUCCESS;512;5.12;1.99;1342.20;0.891
65;SUCCESS;2883;28.83;1.99;8464.52;0.892
66;SUCCESS;1042;10.42;2.00;2782.70;0.894
67;SUCCESS;1228;12.28;1.99;3173.15;0.896
68;SUCCESS;1558;15.58;1.99;4463.10;0.897
69;SUCCESS;1249;12.49;1.99;3471.50;0.899
70;SUCCESS;786;7.86;1.99;2052.10;0.900
71;SUCCESS;239;2.39;1.99;717.00;0.901
72;SUCCESS;1097;10.97;1.99;2854.00;0.903
73;SUCCESS;483;4.83;1.99;1449.00;0.904
74;SUCCESS;1207;12.07;2.00;3621.00;0.905
75;SUCCESS;1038;10.38;2.00;3114.00;0.907
76;SUCCESS;511;5.11;1.99;1533.00;0.908
77;SUCCESS;528;5.28;1.99;1584.00;0.909
78;SUCCESS;1680;16.80;2.00;4802.50;0.910
79;SUCCESS;784;7.84;1.99;2352.00;0.911
80;SUCCESS;616;6.16;1.99;1848.00;0.913
81;SUCCESS;1095;10.95;2.00;2937.30;0.914
82;SUCCESS;352;3.52;2.00;1056.00;0.915
83;STUCK;800;8.00;8.64;879.99;0.904
84;SUCCESS;909;9.09;1.99;2174.82;0.905
85;SUCCESS;598;5.98;1.99;1794.00;0.906
86;SUCCESS;1444;14.44;2.00;4332.00;0.907
87;STUCK;1000;10.00;13.39;2015.08;0.897
88;SUCCESS;843;8.43;2.00;2274.40;0.898
89;SUCCESS;1138;11.38;2.00;3197.40;0.899
90;SUCCESS;1395;13.95;1.99;3746.11;0.900
91;STUCK;1300;13.00;17.13;3038.34;0.890
92;SUCCESS;3270;32.70;2.00;8332.88;0.891
93;SUCCESS;898;8.98;2.00;2558.78;0.892
94;SUCCESS;2615;26.15;1.99;5922.89;0.894
95;SUCCESS;1534;15.34;2.00;3608.23;0.895
96;SUCCESS;1020;10.20;1.99;2873.80;0.896
97;SUCCESS;758;7.58;2.00;2274.00;0.897
98;SUCCESS;659;6.59;1.99;1842.10;0.898
99;SUCCESS;193;1.93;1.99;579.00;0.899
100;SUCCESS;730;7.30;1.99;2190.00;0.900
