episodio;resultado;pasos;tiempo_s;distancia_final_m;energia_total;tasa_exito_acum
1;FALL;15;0.14;7.95;18.40;0.000
2;SUCCESS;1069;10.69;2.00;3011.30;0.500
3;SUCCESS;209;2.09;1.99;571.74;0.667
4;SUCCESS;1213;12.13;1.99;3192.09;0.750
5;SUCCESS;1170;11.70;2.00;3477.93;0.800
6;SUCCESS;1071;10.71;1.99;2874.81;0.833
7;SUCCESS;1309;13.09;2.00;2889.42;0.857
8;SUCCESS;1081;10.81;2.00;3243.00;0.875
9;SUCCESS;1190;11.90;2.00;3313.53;0.889
10;FALL;16;0.16;18.29;35.08;0.800
11;FALL;26;0.26;18.38;57.37;0.727
12;SUCCESS;772;7.72;2.00;2316.00;0.750
13;STUCK;1300;13.00;9.02;1836.76;0.692
14;SUCCESS;589;5.89;2.00;1767.00;0.714
15;FALL;103;1.03;16.53;165.83;0.667
16;SUCCESS;740;7.40;1.99;1955.33;0.688
17;FALL;18;0.18;13.27;39.55;0.647
18;FALL;8;0.08;17.06;8.80;0.611
19;SUCCESS;896;8.96;1.99;2255.00;0.632
20;FALL;7;0.07;7.19;7.70;0.600
21;SUCCESS;567;5.67;1.99;1583.20;0.619
22;SUCCESS;943;9.43;1.99;2821.55;0.636
23;SUCCESS;327;3.27;1.99;981.00;0.652
24;FALL;27;0.27;19.03;29.70;0.625
25;FALL;4;0.04;19.75;4.40;0.600
26;SUCCESS;840;8.40;2.00;2520.00;0.615
27;COLLISION;32;0.32;15.44;56.10;0.593
28;SUCCESS;1031;10.31;2.00;3093.00;0.607
29;FALL;4;0.04;8.81;4.50;0.586
30;SUCCESS;704;7.04;1.99;2101.50;0.600
31;SUCCESS;846;8.46;1.99;1990.80;0.613
32;SUCCESS;469;4.69;2.00;1407.00;0.625
33;SUCCESS;530;5.30;1.99;1590.00;0.636
34;SUCCESS;1117;11.17;1.99;2862.86;0.647
35;SUCCESS;880;8.80;1.99;2640.00;0.657
36;SUCCESS;745;7.45;2.00;2191.25;0.667
37;SUCCESS;875;8.75;2.00;2625.00;0.676
38;SUCCESS;684;6.84;2.00;1649.20;0.684
39;SUCCESS;967;9.67;1.99;2901.00;0.692
40;SUCCESS;541;5.41;1.98;1619.33;0.700
41;SUCCESS;698;6.98;1.99;1546.80;0.707
42;SUCCESS;1196;11.96;1.99;3221.30;0.714
43;SUCCESS;962;9.62;1.98;2886.00;0.721
44;SUCCESS;738;7.38;1.99;1754.20;0.727
45;FALL;167;1.67;15.55;270.51;0.711
46;SUCCESS;507;5.07;1.99;1044.10;0.717
47;SUCCESS;1082;10.82;2.00;3084.50;0.723
48;SUCCESS;856;8.56;2.00;2169.00;0.729
49;SUCCESS;893;8.93;1.99;2409.28;0.735
50;SUCCESS;421;4.21;1.99;1263.00;0.740
51;SUCCESS;1110;11.10;1.99;3193.74;0.745
52;SUCCESS;834;8.34;1.98;2502.00;0.750
53;SUCCESS;1317;13.17;2.00;3675.31;0.755
54;FALL;11;0.11;16.09;12.10;0.741
55;SUCCESS;1167;11.67;1.99;3451.97;0.745
56;STUCK;900;9.00;7.52;1542.87;0.732
57;FALL;6;0.06;20.29;6.70;0.719
58;FALL;10;0.10;10.36;20.57;0.707
59;SUCCESS;1213;12.13;1.99;3199.04;0.712
60;SUCCESS;324;3.24;1.99;827.03;0.717
61;SUCCESS;1297;12.97;1.99;3726.37;0.721
62;SUCCESS;1068;10.68;2.00;2686.08;0.726
63;SUCCESS;800;8.00;1.99;2320.87;0.730
64;SUCCESS;236;2.36;1.99;708.00;0.734
65;SUCCESS;1193;11.93;1.99;3574.29;0.738
66;STUCK;800;8.00;9.82;1045.95;0.727
67;SUCCESS;1149;11.49;2.00;2761.10;0.731
68;SUCCESS;973;9.73;1.99;2912.36;0.735
69;SUCCESS;1221;12.21;1.99;3181.12;0.739
70;SUCCESS;728;7.28;1.99;1824.90;0.743
71;SUCCESS;264;2.64;1.99;791.48;0.746
72;SUCCESS;1277;12.77;2.00;3475.70;0.750
73;SUCCESS;196;1.96;2.00;433.23;0.753
74;FALL;90;0.90;18.32;205.95;0.743
75;SUCCESS;1112;11.12;2.00;3305.97;0.747
76;SUCCESS;522;5.22;1.99;1566.00;0.750
77;SUCCESS;515;5.15;1.99;1472.80;0.753
78;SUCCESS;918;9.18;2.00;2637.39;0.756
79;FALL;348;3.48;8.38;940.86;0.747
80;SUCCESS;645;6.45;1.99;1935.00;0.750
81;COLLISION;38;0.38;18.35;62.95;0.741
82;SUCCESS;325;3.25;1.99;973.10;0.744
83;STUCK;1100;11.00;6.12;1496.09;0.735
84;FALL;10;0.10;13.95;11.20;0.726
85;SUCCESS;1155;11.55;2.00;3059.21;0.729
86;FALL;24;0.24;18.44;26.40;0.721
87;SUCCESS;945;9.45;1.99;2775.45;0.724
88;SUCCESS;964;9.64;1.99;2593.70;0.727
89;FALL;50;0.50;18.53;67.83;0.719
90;SUCCESS;274;2.74;2.00;822.00;0.722
91;SUCCESS;1096;10.96;1.99;3288.00;0.725
92;FALL;13;0.13;20.17;14.30;0.717
93;SUCCESS;588;5.88;1.99;1667.10;0.720
94;SUCCESS;1195;11.95;1.99;3383.79;0.723
95;SUCCESS;1261;12.61;2.00;3257.93;0.726
96;SUCCESS;906;9.06;2.00;2645.80;0.729
97;FALL;48;0.48;14.70;89.28;0.722
98;SUCCESS;928;9.28;1.99;2684.69;0.724
99;SUCCESS;209;2.09;2.00;627.00;0.727
100;SUCCESS;929;9.29;2.00;2707.61;0.730
