episodio;resultado;pasos;tiempo_s;distancia_final_m;energia_total;tasa_exito_acum
1;SUCCESS;1086;10.85;1.99;3223.15;1.000
2;SUCCESS;2136;21.36;2.00;6128.71;1.000
3;SUCCESS;1532;15.32;1.99;3414.81;1.000
4;SUCCESS;691;6.91;1.99;2073.00;1.000
5;SUCCESS;1137;11.37;1.99;3411.00;1.000
6;SUCCESS;720;7.20;2.00;1679.30;1.000
7;SUCCESS;1001;10.01;2.00;2921.30;1.000
8;SUCCESS;981;9.81;1.99;2800.50;1.000
9;SUCCESS;382;3.82;1.99;1146.00;1.000
10;SUCCESS;816;8.16;2.00;2372.00;1.000
11;SUCCESS;803;8.03;1.99;1947.30;1.000
12;SUCCESS;1501;15.01;2.00;4387.11;1.000
13;SUCCESS;1266;12.66;1.99;3226.10;1.000
14;SUCCESS;1128;11.28;1.99;3384.00;1.000
15;SUCCESS;1537;15.37;1.99;4082.96;1.000
16;SUCCESS;1667;16.67;1.99;4592.94;1.000
17;SUCCESS;837;8.37;2.00;2491.99;1.000
18;SUCCESS;747;7.47;2.00;2241.00;1.000
19;SUCCESS;818;8.18;1.99;2399.50;1.000
20;SUCCESS;530;5.30;2.00;1590.00;1.000
21;SUCCESS;1032;10.32;2.00;3096.00;1.000
22;STUCK;600;6.00;16.81;688.60;0.955
23;SUCCESS;1183;11.83;2.00;3549.00;0.957
24;STUCK;700;7.00;13.30;1146.90;0.917
25;SUCCESS;1128;11.28;1.99;2764.60;0.920
26;SUCCESS;686;6.86;1.99;1926.90;0.923
27;SUCCESS;1188;11.88;1.99;3294.20;0.926
28;SUCCESS;342;3.42;1.99;1026.00;0.929
29;SUCCESS;638;6.38;1.99;1914.00;0.931
30;SUCCESS;667;6.67;1.99;2001.00;0.933
31;SUCCESS;785;7.85;2.00;1935.10;0.935
32;SUCCESS;1298;12.98;1.99;3396.20;0.938
33;SUCCESS;978;9.78;2.00;2476.10;0.939
34;SUCCESS;609;6.09;1.99;1827.00;0.941
35;SUCCESS;823;8.23;2.00;2379.79;0.943
