episodio;resultado;pasos;tiempo_s;distancia_final_m;energia_total;tasa_exito_acum
1;SUCCESS;1278;12.77;1.99;3680.12;1.000
2;SUCCESS;2466;24.66;2.00;5869.93;1.000
3;SUCCESS;1142;11.42;1.99;2702.06;1.000
4;SUCCESS;1041;10.41;1.99;2819.00;1.000
5;SUCCESS;1295;12.95;2.00;3885.00;1.000
6;SUCCESS;628;6.28;1.99;1509.70;1.000
7;SUCCESS;1455;14.55;1.99;4076.21;1.000
8;SUCCESS;887;8.87;1.99;2486.20;1.000
9;SUCCESS;1026;10.26;1.99;2504.19;1.000
10;SUCCESS;507;5.07;1.99;1407.00;1.000
11;SUCCESS;790;7.90;2.00;1874.10;1.000
12;SUCCESS;1745;17.45;1.99;5235.00;1.000
13;SUCCESS;1087;10.87;2.00;2801.20;1.000
14;SUCCESS;1181;11.81;2.00;3543.00;1.000
15;SUCCESS;1962;19.62;1.99;4864.48;1.000
16;STUCK;1500;15.00;8.63;2707.41;0.938
17;SUCCESS;853;8.53;1.99;2520.10;0.941
18;SUCCESS;762;7.62;2.00;2286.00;0.944
19;SUCCESS;1012;10.12;1.99;2838.75;0.947
20;SUCCESS;599;5.99;1.99;1797.00;0.950
21;SUCCESS;1033;10.33;1.99;3099.00;0.952
22;STUCK;600;6.00;16.47;881.32;0.909
23;SUCCESS;1331;13.31;2.00;3993.00;0.913
24;SUCCESS;2726;27.26;2.00;6367.39;0.917
25;SUCCESS;1082;10.82;1.99;2767.20;0.920
26;SUCCESS;782;7.82;2.00;2199.70;0.923
27;SUCCESS;1206;12.06;1.99;3384.30;0.926
28;SUCCESS;386;3.86;1.99;1158.00;0.929
29;SUCCESS;762;7.62;1.99;2286.00;0.931
30;SUCCESS;688;6.88;1.99;2064.00;0.933
31;SUCCESS;841;8.41;2.00;2006.20;0.935
32;COLLISION;635;6.35;14.32;1081.52;0.906
33;SUCCESS;988;9.88;2.00;2544.10;0.909
34;SUCCESS;549;5.49;1.99;1647.00;0.912
35;STUCK;2100;21.00;5.79;4175.99;0.886
36;SUCCESS;240;2.40;1.99;720.00;0.889
37;SUCCESS;908;9.08;1.98;2522.60;0.892
38;SUCCESS;1904;19.04;2.00;4515.28;0.895
39;STUCK;1100;11.00;10.23;1402.05;0.872
40;SUCCESS;624;6.24;2.00;1872.00;0.875
41;SUCCESS;517;5.17;1.99;1551.00;0.878
42;SUCCESS;457;4.57;1.99;1371.00;0.881
43;SUCCESS;1141;11.41;1.99;3069.60;0.884
44;SUCCESS;824;8.24;1.99;2472.00;0.886
45;SUCCESS;569;5.69;1.99;1279.50;0.889
46;SUCCESS;505;5.05;1.99;1515.00;0.891
47;SUCCESS;1082;10.82;2.00;3246.00;0.894
48;SUCCESS;1191;11.91;1.99;3122.70;0.896
49;SUCCESS;429;4.29;1.99;1125.50;0.898
50;SUCCESS;895;8.95;1.99;2144.34;0.900
51;SUCCESS;424;4.24;2.00;1108.60;0.902
