episodio;resultado;pasos;tiempo_s;distancia_final_m;energia_total;tasa_exito_acum
1;SUCCESS;1514;15.14;1.99;3203.62;1.000
2;SUCCESS;2013;20.13;2.00;3088.74;1.000
3;SUCCESS;865;8.65;2.00;2147.00;1.000
4;COLLISION;420;4.20;16.30;506.56;0.750
5;SUCCESS;769;7.69;1.99;2220.50;0.800
6;SUCCESS;540;5.40;1.99;977.68;0.833
7;COLLISION;980;9.80;5.76;1448.06;0.714
8;SUCCESS;2345;23.45;1.99;3560.00;0.750
9;SUCCESS;669;6.69;1.99;1692.02;0.778
10;SUCCESS;334;3.34;2.00;652.97;0.800
11;SUCCESS;1343;13.43;2.00;2373.57;0.818
12;SUCCESS;1537;15.37;1.99;3762.93;0.833
13;SUCCESS;471;4.71;2.00;930.75;0.846
14;STUCK;600;6.00;6.24;480.10;0.786
15;SUCCESS;1824;18.24;2.00;3588.36;0.800
16;COLLISION;777;7.77;10.32;909.74;0.750
17;SUCCESS;696;6.96;2.00;1332.48;0.765
18;SUCCESS;912;9.12;1.99;2310.61;0.778
19;STUCK;1200;12.00;2.59;1454.97;0.737
20;SUCCESS;1051;10.51;2.00;1891.14;0.750
21;SUCCESS;1101;11.01;1.99;3108.47;0.762
22;SUCCESS;1311;13.11;1.99;2489.81;0.773
23;SUCCESS;1124;11.24;1.99;3036.82;0.783
24;SUCCESS;1145;11.45;1.99;3242.13;0.792
25;SUCCESS;1064;10.64;1.99;3161.12;0.800
26;SUCCESS;1815;18.15;2.00;4101.85;0.808
27;SUCCESS;1005;10.05;2.00;1703.05;0.815
28;SUCCESS;1289;12.89;2.00;2858.05;0.821
29;SUCCESS;1106;11.06;2.00;2242.77;0.828
30;SUCCESS;1460;14.60;2.00;2855.77;0.833
31;SUCCESS;866;8.66;2.00;1619.90;0.839
32;SUCCESS;721;7.21;2.00;1535.10;0.844
33;COLLISION;889;8.89;11.16;1340.08;0.818
34;SUCCESS;364;3.64;2.00;1013.55;0.824
35;SUCCESS;1297;12.97;1.99;2801.86;0.829
36;SUCCESS;1093;10.93;2.00;1774.79;0.833
37;SUCCESS;1332;13.32;1.99;2993.20;0.838
38;SUCCESS;816;8.16;2.00;2226.79;0.842
39;SUCCESS;1500;15.00;1.99;3019.20;0.846
40;SUCCESS;377;3.77;1.99;746.36;0.850
41;SUCCESS;1294;12.94;1.99;3482.55;0.854
42;SUCCESS;1111;11.11;1.99;2908.51;0.857
43;SUCCESS;1043;10.43;2.00;2783.44;0.860
44;SUCCESS;937;9.37;2.00;2130.90;0.864
45;COLLISION;893;8.93;7.52;1062.78;0.844
46;SUCCESS;259;2.59;1.99;738.17;0.848
47;SUCCESS;416;4.16;1.99;1081.54;0.851
48;SUCCESS;1278;12.78;2.00;3205.43;0.854
49;STUCK;600;6.00;12.76;355.13;0.837
50;SUCCESS;982;9.82;1.99;1996.02;0.840
51;SUCCESS;436;4.36;1.99;906.58;0.843
52;SUCCESS;339;3.39;1.99;939.53;0.846
53;SUCCESS;1204;12.04;1.99;3136.17;0.849
54;SUCCESS;693;6.93;1.99;1806.33;0.852
55;SUCCESS;1080;10.80;2.00;2161.18;0.855
56;SUCCESS;1112;11.12;2.00;2179.68;0.857
57;COLLISION;1588;15.88;7.02;2584.56;0.842
58;SUCCESS;523;5.23;1.99;1326.76;0.845
59;SUCCESS;1701;17.01;2.00;4151.57;0.847
60;SUCCESS;401;4.01;1.99;714.00;0.850
61;SUCCESS;2906;29.06;2.00;4415.59;0.852
62;SUCCESS;1169;11.69;2.00;3447.80;0.855
63;SUCCESS;578;5.78;2.00;1433.30;0.857
