episodio;resultado;pasos;tiempo_s;distancia_final_m;energia_total;tasa_exito_acum
1;STUCK;952;9.52;6.35;1611.85;0.000
2;SUCCESS;2242;22.42;2.00;3484.32;0.500
3;SUCCESS;243;2.43;2.00;302.35;0.667
4;COLLISION;1146;11.46;11.82;1554.54;0.500
5;STUCK;748;7.48;20.77;604.82;0.400
6;SUCCESS;985;9.85;1.97;2144.37;0.500
7;STUCK;727;7.27;13.64;539.50;0.429
8;STUCK;4818;48.18;11.02;7017.95;0.375
9;STUCK;3580;35.80;22.12;4320.68;0.333
10;STUCK;1115;11.15;13.46;1368.86;0.300
11;FALL;60;0.60;18.42;46.37;0.273
12;STUCK;876;8.76;14.52;818.35;0.250
13;COLLISION;557;5.57;17.91;426.50;0.231
14;SUCCESS;2125;21.25;2.00;3257.70;0.286
15;COLLISION;1068;10.68;12.45;1466.98;0.267
16;SUCCESS;4770;47.70;2.00;6128.45;0.313
17;FALL;29;0.29;13.90;33.17;0.294
18;FALL;48;0.48;17.90;37.90;0.278
19;STUCK;977;9.77;13.31;936.05;0.263
20;FALL;33;0.33;8.04;29.87;0.250
21;STUCK;1734;17.34;4.84;1840.64;0.238
22;STUCK;1088;10.88;13.36;1407.47;0.227
23;STUCK;1470;14.70;4.49;1901.33;0.217
24;STUCK;1763;17.63;21.26;1878.54;0.208
25;FALL;5;0.05;19.69;9.43;0.200
26;STUCK;1859;18.59;8.08;2496.11;0.192
27;FALL;68;0.68;11.88;74.44;0.185
28;STUCK;1233;12.33;15.69;1039.27;0.179
29;FALL;5;0.05;8.77;8.46;0.172
30;STUCK;1491;14.91;10.25;1649.40;0.167
31;STUCK;2696;26.96;4.98;3752.06;0.161
32;STUCK;1218;12.18;4.98;1621.46;0.156
33;STUCK;834;8.34;8.23;710.85;0.152
34;SUCCESS;2463;24.63;1.99;3389.03;0.176
35;COLLISION;721;7.21;14.51;556.76;0.171
36;STUCK;3571;35.71;4.96;5479.04;0.167
37;STUCK;751;7.51;16.19;559.89;0.162
38;FALL;21;0.21;9.28;10.92;0.158
39;STUCK;1842;18.42;10.52;2410.92;0.154
40;STUCK;661;6.61;10.18;540.53;0.150
41;STUCK;600;6.00;7.62;428.22;0.146
42;STUCK;1700;17.00;12.35;2721.34;0.143
43;STUCK;900;9.00;12.78;1003.46;0.140
44;SUCCESS;1248;12.48;2.00;1959.33;0.159
45;COLLISION;264;2.64;6.89;322.13;0.156
46;SUCCESS;908;9.08;1.99;1144.11;0.174
47;SUCCESS;1039;10.39;1.99;2910.25;0.191
48;SUCCESS;2037;20.37;2.00;3141.60;0.208
49;SUCCESS;1742;17.42;1.99;3919.91;0.224
50;SUCCESS;446;4.46;1.99;1266.01;0.240
51;COLLISION;1191;11.91;9.02;2117.60;0.235
52;SUCCESS;1473;14.73;1.99;2360.14;0.250
53;SUCCESS;2289;22.89;2.00;3718.30;0.264
54;STUCK;800;8.00;18.27;667.88;0.259
55;STUCK;2700;27.00;8.50;4633.08;0.255
56;SUCCESS;619;6.19;1.98;1732.68;0.268
57;FALL;17;0.17;19.91;15.27;0.263
58;SUCCESS;1490;14.90;2.00;1858.40;0.276
59;STUCK;600;6.00;15.90;477.96;0.271
60;STUCK;800;8.00;6.32;921.16;0.267
61;STUCK;600;6.00;17.78;426.45;0.262
62;STUCK;600;6.00;12.72;480.26;0.258
63;STUCK;600;6.00;12.00;474.59;0.254
64;SUCCESS;573;5.73;1.99;641.52;0.266
65;STUCK;600;6.00;19.03;623.81;0.262
66;SUCCESS;982;9.82;2.00;1843.52;0.273
67;STUCK;1600;16.00;5.14;2933.52;0.269
68;STUCK;700;7.00;14.34;726.17;0.265
69;STUCK;1000;10.00;11.45;1311.73;0.261
70;SUCCESS;702;7.02;1.99;1744.12;0.271
71;SUCCESS;562;5.62;2.00;790.82;0.282
72;STUCK;2500;25.00;5.95;4578.07;0.278
73;STUCK;1300;13.00;2.99;1908.95;0.274
74;FALL;85;0.85;18.70;141.31;0.270
75;STUCK;1500;15.00;8.15;2891.27;0.267
76;SUCCESS;574;5.74;1.99;1555.25;0.276
77;STUCK;4100;41.00;8.46;5487.51;0.273
78;SUCCESS;1935;19.35;2.00;3483.37;0.282
79;SUCCESS;2443;24.43;1.99;4583.13;0.291
80;FALL;10;0.10;11.06;8.19;0.288
81;FALL;13;0.13;14.44;22.11;0.284
82;SUCCESS;489;4.89;2.00;1012.41;0.293
83;SUCCESS;1436;14.36;2.00;2251.70;0.301
84;FALL;78;0.78;12.58;81.93;0.298
85;STUCK;2700;27.00;5.62;4451.72;0.294
86;FALL;10;0.10;17.76;14.72;0.291
87;STUCK;2100;21.00;2.88;3535.19;0.287
88;SUCCESS;1620;16.20;2.00;3288.61;0.295
89;FALL;201;2.01;11.18;243.77;0.292
90;SUCCESS;436;4.36;2.00;940.61;0.300
91;SUCCESS;2040;20.40;2.00;3968.71;0.308
92;FALL;63;0.63;20.55;55.71;0.304
93;SUCCESS;1113;11.13;2.00;1489.78;0.312
94;STUCK;700;7.00;19.17;732.88;0.309
95;STUCK;600;6.00;17.07;391.42;0.305
96;SUCCESS;1713;17.13;1.99;3463.25;0.313
97;STUCK;900;9.00;11.15;1051.82;0.309
98;SUCCESS;776;7.76;1.99;1932.18;0.316
99;STUCK;700;7.00;3.85;575.98;0.313
100;COLLISION;633;6.33;11.45;801.38;0.310
