episodio;resultado;pasos;tiempo_s;distancia_final_m;energia_total;tasa_exito_acum
1;STUCK;3230;32.30;4.15;3585.44;0.000
2;STUCK;3467;34.67;3.37;5018.79;0.000
3;SUCCESS;263;2.63;1.99;307.68;0.333
4;STUCK;1733;17.33;16.15;1571.50;0.250
5;COLLISION;4404;44.04;7.17;5449.64;0.200
6;SUCCESS;2459;24.59;1.99;5048.34;0.333
7;STUCK;2227;22.27;13.83;2817.28;0.286
8;SUCCESS;6720;67.20;2.00;10548.18;0.375
9;COLLISION;2546;25.46;17.15;4468.00;0.333
10;FALL;28;0.28;17.53;29.59;0.300
11;FALL;29;0.29;18.37;20.70;0.273
12;SUCCESS;1141;11.41;2.00;2624.71;0.333
13;COLLISION;500;5.00;17.91;386.85;0.308
14;SUCCESS;724;7.24;2.00;1647.08;0.357
15;COLLISION;180;1.80;15.08;313.41;0.333
16;SUCCESS;760;7.60;2.00;1512.81;0.375
17;FALL;19;0.19;13.35;30.98;0.353
18;COLLISION;97;0.97;21.74;111.04;0.333
19;COLLISION;2887;28.87;10.10;2770.02;0.316
20;FALL;19;0.19;7.32;20.91;0.300
21;STUCK;1800;18.00;4.01;2081.48;0.286
22;STUCK;1800;18.00;13.23;2101.66;0.273
23;SUCCESS;648;6.48;1.99;1499.39;0.304
24;SUCCESS;4802;48.02;1.99;8255.31;0.333
25;FALL;4;0.04;19.77;1.87;0.320
26;SUCCESS;4210;42.10;1.99;5208.71;0.346
27;SUCCESS;1998;19.98;2.00;3789.65;0.370
28;STUCK;3600;36.00;11.13;3113.52;0.357
29;FALL;5;0.05;8.65;7.09;0.345
30;STUCK;1600;16.00;11.78;1914.13;0.333
31;SUCCESS;1473;14.73;2.00;2382.29;0.355
32;STUCK;4000;40.00;2.42;4386.25;0.344
33;SUCCESS;888;8.88;1.99;1562.40;0.364
34;SUCCESS;1934;19.34;1.99;2988.25;0.382
35;COLLISION;633;6.33;14.33;487.20;0.371
36;STUCK;6000;60.00;5.89;8917.32;0.361
37;STUCK;1200;12.00;16.29;819.59;0.351
38;FALL;13;0.13;8.98;14.68;0.342
39;STUCK;2000;20.00;8.98;2496.64;0.333
40;STUCK;2600;26.00;8.10;3411.08;0.325
41;SUCCESS;2379;23.79;2.00;2883.47;0.341
42;STUCK;2400;24.00;12.16;3884.17;0.333
43;COLLISION;1767;17.67;3.45;2672.75;0.326
44;SUCCESS;1875;18.75;2.00;2460.81;0.341
45;COLLISION;2293;22.93;6.24;2544.11;0.333
46;SUCCESS;1129;11.29;1.99;1379.66;0.348
47;SUCCESS;1036;10.36;1.99;2913.99;0.362
48;SUCCESS;4039;40.39;2.00;5094.84;0.375
49;SUCCESS;1839;18.39;2.00;3962.94;0.388
50;SUCCESS;449;4.49;1.99;1268.32;0.400
51;STUCK;6000;60.00;5.07;8854.49;0.392
52;STUCK;2400;24.00;4.06;2886.79;0.385
53;SUCCESS;1699;16.99;2.00;3096.53;0.396
54;FALL;14;0.14;17.36;7.08;0.389
55;STUCK;4800;48.00;3.30;7510.36;0.382
56;SUCCESS;602;6.02;2.00;1738.85;0.393
57;COLLISION;78;0.78;23.70;99.79;0.386
58;COLLISION;0;0.00;14.41;0.00;0.379
59;STUCK;1200;12.00;9.46;982.69;0.373
60;SUCCESS;2825;28.25;1.99;3725.02;0.383
61;STUCK;1200;12.00;17.56;789.67;0.377
62;SUCCESS;6330;63.30;1.99;7351.29;0.387
63;STUCK;1200;12.00;12.19;776.45;0.381
64;SUCCESS;526;5.26;1.99;676.11;0.391
65;STUCK;1400;14.00;19.03;1508.45;0.385
66;SUCCESS;1013;10.13;1.99;1902.07;0.394
67;STUCK;2200;22.00;5.65;3870.91;0.388
68;STUCK;3200;32.00;10.84;3235.09;0.382
69;STUCK;2600;26.00;5.45;2971.72;0.377
70;SUCCESS;705;7.05;1.99;1735.21;0.386
71;SUCCESS;451;4.51;1.99;697.08;0.394
72;STUCK;5600;56.00;7.66;7346.07;0.389
73;SUCCESS;3315;33.15;2.00;4100.76;0.397
74;FALL;41;0.41;19.17;35.91;0.392
75;SUCCESS;2262;22.62;1.99;4243.92;0.400
76;SUCCESS;573;5.73;2.00;1556.00;0.408
77;STUCK;3000;30.00;8.51;4052.41;0.403
78;SUCCESS;1966;19.66;2.00;3624.79;0.410
79;STUCK;2200;22.00;5.64;4002.66;0.405
80;STUCK;2600;26.00;5.45;3238.27;0.400
81;FALL;12;0.12;15.04;20.94;0.395
82;SUCCESS;375;3.75;1.99;962.78;0.402
83;SUCCESS;1343;13.43;1.99;2198.80;0.410
84;FALL;36;0.36;13.53;43.02;0.405
85;STUCK;2800;28.00;5.38;4802.20;0.400
86;FALL;6;0.06;18.72;12.00;0.395
87;SUCCESS;1655;16.55;2.00;3333.04;0.402
88;STUCK;3400;34.00;9.12;3667.95;0.398
89;STUCK;3600;36.00;19.00;3537.29;0.393
90;SUCCESS;395;3.95;1.99;858.95;0.400
91;SUCCESS;2901;29.01;1.99;4680.23;0.407
92;STUCK;1600;16.00;19.22;1239.52;0.402
93;SUCCESS;1132;11.32;2.00;2005.73;0.409
94;STUCK;2200;22.00;16.85;2652.80;0.404
95;SUCCESS;3327;33.27;1.99;5340.05;0.411
96;STUCK;2200;22.00;5.65;3280.57;0.406
97;FALL;12;0.12;14.64;11.26;0.402
98;SUCCESS;722;7.22;2.00;1859.14;0.408
99;STUCK;3600;36.00;7.56;2793.83;0.404
100;COLLISION;558;5.58;11.22;761.73;0.400
