episodio;resultado;pasos;tiempo_s;distancia_final_m;energia_total;tasa_exito_acum
1;FALL;9;0.09;9.15;10.17;0.000
2;FALL;166;1.66;9.58;190.37;0.000
3;STUCK;1612;16.12;7.38;2220.32;0.000
4;SUCCESS;2515;25.15;2.00;3185.91;0.250
5;STUCK;988;9.88;8.29;1623.14;0.200
6;FALL;15;0.15;13.51;28.41;0.167
7;FALL;11;0.11;13.72;9.31;0.143
8;STUCK;1151;11.51;23.16;1210.41;0.125
9;FALL;34;0.34;18.27;46.75;0.111
10;STUCK;2379;23.79;4.83;3104.09;0.100
11;COLLISION;395;3.95;18.00;401.61;0.091
12;FALL;11;0.11;14.22;6.15;0.083
13;STUCK;751;7.51;15.61;517.40;0.077
14;FALL;5;0.05;17.07;2.20;0.071
15;FALL;19;0.19;16.27;29.83;0.067
16;FALL;20;0.20;14.72;13.50;0.063
17;STUCK;2493;24.93;3.54;2959.95;0.059
18;FALL;5;0.05;15.67;12.00;0.056
19;STUCK;4840;48.40;2.75;6688.51;0.053
20;STUCK;1466;14.66;3.33;1102.72;0.050
21;STUCK;890;8.90;8.04;1192.56;0.048
22;STUCK;1238;12.38;10.30;1460.02;0.045
23;COLLISION;3132;31.32;5.87;4031.71;0.043
24;STUCK;3063;30.63;10.40;4583.56;0.042
25;STUCK;745;7.45;20.85;553.42;0.040
26;FALL;303;3.03;20.94;425.53;0.038
27;FALL;9;0.09;12.60;3.15;0.037
28;STUCK;2114;21.14;16.25;2840.61;0.036
29;STUCK;739;7.39;16.42;597.02;0.034
30;SUCCESS;857;8.57;2.00;2022.22;0.067
31;SUCCESS;475;4.75;2.00;719.99;0.097
32;SUCCESS;1036;10.36;2.00;1374.05;0.125
33;FALL;7;0.07;8.89;2.69;0.121
34;FALL;17;0.17;14.11;10.10;0.118
35;SUCCESS;2006;20.06;1.97;1880.28;0.143
36;FALL;7;0.07;16.85;3.04;0.139
37;FALL;59;0.59;14.96;60.91;0.135
38;SUCCESS;1010;10.10;2.00;1131.29;0.158
39;STUCK;5106;51.06;11.62;5780.86;0.154
40;FALL;10;0.10;9.47;19.76;0.150
41;STUCK;1637;16.37;13.35;1465.14;0.146
42;STUCK;2725;27.25;2.66;4413.74;0.143
43;SUCCESS;1776;17.76;1.92;2162.61;0.163
44;FALL;7;0.07;10.02;3.30;0.159
45;STUCK;2718;27.18;6.31;4674.65;0.156
46;STUCK;1381;13.81;21.46;1218.36;0.152
47;COLLISION;777;7.77;14.76;637.66;0.149
48;STUCK;765;7.65;12.22;650.47;0.146
49;SUCCESS;2498;24.98;2.00;2904.52;0.163
50;FALL;74;0.74;9.28;166.33;0.160
51;FALL;22;0.22;18.31;18.05;0.157
52;FALL;13;0.13;11.26;24.74;0.154
53;COLLISION;859;8.59;12.24;1441.61;0.151
54;SUCCESS;2908;29.08;2.00;4251.01;0.167
55;COLLISION;1469;14.69;34.96;1871.02;0.164
56;SUCCESS;899;8.99;2.00;1710.81;0.179
57;FALL;23;0.23;16.95;28.92;0.175
58;FALL;6;0.06;8.83;4.31;0.172
59;FALL;106;1.06;25.09;105.73;0.169
60;SUCCESS;951;9.51;2.00;1390.38;0.183
61;FALL;44;0.44;11.43;44.23;0.180
62;STUCK;1734;17.34;2.55;2031.96;0.177
63;STUCK;3828;38.28;9.47;6174.09;0.175
64;SUCCESS;447;4.47;1.99;733.11;0.188
65;STUCK;711;7.11;19.84;512.75;0.185
66;STUCK;4080;40.80;15.21;6029.92;0.182
67;STUCK;3221;32.21;16.80;5386.96;0.179
68;FALL;7;0.07;16.25;2.79;0.176
69;STUCK;1370;13.70;7.60;1774.27;0.174
70;COLLISION;1825;18.25;8.45;1975.35;0.171
71;FALL;54;0.54;6.71;93.73;0.169
72;STUCK;3939;39.39;21.81;6165.96;0.167
73;STUCK;1876;18.76;10.23;2615.42;0.164
74;FALL;13;0.13;14.47;16.95;0.162
75;COLLISION;2277;22.77;27.88;3373.93;0.160
76;STUCK;1363;13.63;8.22;1311.56;0.158
77;COLLISION;92;0.92;9.63;102.55;0.156
78;SUCCESS;2444;24.44;2.00;2437.36;0.167
79;COLLISION;326;3.26;7.38;322.18;0.165
80;FALL;39;0.39;11.26;58.63;0.163
81;COLLISION;304;3.04;7.02;341.55;0.160
82;SUCCESS;1565;15.65;2.00;1796.28;0.171
83;COLLISION;134;1.34;4.23;172.07;0.169
84;SUCCESS;1491;14.91;2.00;2712.52;0.179
85;SUCCESS;657;6.57;1.99;1231.03;0.188
86;STUCK;1114;11.14;13.65;965.23;0.186
87;FALL;80;0.80;15.58;126.01;0.184
88;SUCCESS;2210;22.10;2.00;3524.43;0.193
89;FALL;29;0.29;18.74;28.93;0.191
90;SUCCESS;515;5.15;1.97;645.99;0.200
91;STUCK;2087;20.87;2.69;2840.78;0.198
92;STUCK;1751;17.51;17.02;1739.04;0.196
93;COLLISION;1041;10.41;6.89;1134.40;0.194
94;FALL;22;0.22;18.70;18.75;0.191
95;FALL;29;0.29;17.34;32.41;0.189
96;FALL;19;0.19;14.34;12.71;0.188
97;STUCK;3490;34.90;9.88;5346.45;0.186
98;COLLISION;893;8.93;12.21;1373.11;0.184
99;FALL;1873;18.73;17.75;3096.68;0.182
100;SUCCESS;866;8.66;2.00;849.40;0.190
