episodio;resultado;pasos;tiempo_s;distancia_final_m;energia_total;tasa_exito_acum
1;STUCK;2640;26.40;2.02;2747.07;0.000
2;SUCCESS;1252;12.52;2.00;1804.61;0.500
3;COLLISION;1122;11.22;7.88;1530.29;0.333
4;COLLISION;3582;35.82;4.99;3979.01;0.250
5;STUCK;2505;25.05;12.38;3574.42;0.200
6;FALL;11;0.11;13.42;10.72;0.167
7;FALL;9;0.09;13.92;6.60;0.143
8;SUCCESS;933;9.33;2.00;1145.48;0.250
9;FALL;19;0.19;18.04;27.83;0.222
10;STUCK;3603;36.03;10.33;4204.66;0.200
11;COLLISION;4149;41.49;5.93;5238.64;0.182
12;STUCK;5546;55.46;21.11;6431.70;0.167
13;STUCK;1372;13.72;14.14;994.52;0.154
14;FALL;5;0.05;16.71;7.13;0.143
15;FALL;15;0.15;15.63;19.21;0.133
16;FALL;7;0.07;15.00;4.08;0.125
17;STUCK;2727;27.27;3.43;3099.06;0.118
18;FALL;4;0.04;15.29;0.14;0.111
19;STUCK;5365;53.65;2.43;6913.73;0.105
20;SUCCESS;1639;16.39;2.00;1452.31;0.150
21;COLLISION;5891;58.91;5.90;7383.60;0.143
22;STUCK;2125;21.25;10.89;2413.14;0.136
23;STUCK;1515;15.15;20.41;1312.87;0.130
24;FALL;5;0.05;9.21;1.10;0.125
25;STUCK;1376;13.76;20.77;1039.70;0.120
26;FALL;29;0.29;16.84;65.93;0.115
27;STUCK;4226;42.26;2.35;4099.14;0.111
28;STUCK;2388;23.88;16.04;3070.17;0.107
29;SUCCESS;3670;36.70;2.00;4845.64;0.138
30;SUCCESS;1009;10.09;1.99;2083.45;0.167
31;SUCCESS;459;4.59;1.99;702.40;0.194
32;STUCK;2184;21.84;3.54;2374.71;0.188
33;FALL;515;5.15;26.94;567.38;0.182
34;FALL;113;1.13;10.71;101.13;0.176
35;SUCCESS;1401;14.01;1.99;1526.53;0.200
36;FALL;22;0.22;16.26;19.57;0.194
37;FALL;5;0.05;14.71;0.52;0.189
38;SUCCESS;993;9.93;2.00;1242.08;0.211
39;COLLISION;1949;19.49;7.57;2240.65;0.205
40;FALL;7;0.07;9.28;2.17;0.200
41;COLLISION;3105;31.05;13.87;2529.52;0.195
42;STUCK;2135;21.35;15.06;2502.15;0.190
43;SUCCESS;1694;16.94;1.98;2248.16;0.209
44;FALL;5;0.05;10.19;1.03;0.205
45;FALL;17;0.17;15.17;13.59;0.200
46;STUCK;11839;118.39;18.02;15558.99;0.196
47;STUCK;3947;39.47;17.16;5172.34;0.191
48;SUCCESS;4831;48.31;2.00;8059.53;0.208
49;SUCCESS;2825;28.25;2.00;3211.41;0.224
50;FALL;5;0.05;7.90;5.50;0.220
51;FALL;34;0.34;18.32;32.99;0.216
52;FALL;8;0.08;11.76;18.95;0.212
53;COLLISION;1250;12.50;13.30;1140.32;0.208
54;SUCCESS;3444;34.44;1.97;4416.96;0.222
55;STUCK;5786;57.86;2.56;8760.61;0.218
56;SUCCESS;855;8.55;1.99;1474.90;0.232
57;FALL;14;0.14;16.93;20.34;0.228
58;FALL;7;0.07;9.00;2.35;0.224
59;FALL;16;0.16;15.93;10.12;0.220
60;SUCCESS;1060;10.60;1.99;1505.22;0.233
61;FALL;39;0.39;11.48;44.97;0.230
62;STUCK;2828;28.28;3.88;2795.88;0.226
63;STUCK;2745;27.45;19.62;2997.86;0.222
64;SUCCESS;611;6.11;1.99;790.29;0.234
65;FALL;78;0.78;20.22;72.76;0.231
66;STUCK;2117;21.17;15.90;1729.59;0.227
67;STUCK;4335;43.35;16.20;8091.79;0.224
68;FALL;18;0.18;16.28;11.08;0.221
69;SUCCESS;1431;14.31;2.00;2288.58;0.232
70;COLLISION;1888;18.88;17.39;1548.86;0.229
71;STUCK;1978;19.78;4.32;2421.70;0.225
72;STUCK;3854;38.54;17.86;8388.97;0.222
73;STUCK;5135;51.35;7.96;6117.49;0.219
74;FALL;8;0.08;14.41;6.61;0.216
75;STUCK;5315;53.15;30.48;6431.62;0.213
76;STUCK;2208;22.08;4.99;2616.08;0.211
77;SUCCESS;1345;13.45;2.00;1572.06;0.221
78;SUCCESS;2061;20.61;2.00;2189.75;0.231
79;STUCK;1514;15.14;6.62;1204.30;0.228
80;FALL;38;0.38;11.26;52.31;0.225
81;SUCCESS;1891;18.91;1.99;2070.32;0.235
82;SUCCESS;979;9.79;2.00;1313.82;0.244
83;FALL;215;2.15;6.53;236.46;0.241
84;SUCCESS;1291;12.91;2.00;2385.50;0.250
85;SUCCESS;896;8.96;1.99;1544.72;0.259
86;STUCK;2334;23.34;12.37;2220.23;0.256
87;STUCK;3839;38.39;15.37;5071.66;0.253
88;FALL;3913;39.13;14.08;4695.16;0.250
89;FALL;28;0.28;20.97;29.54;0.247
90;FALL;35;0.35;6.03;27.87;0.244
91;SUCCESS;1345;13.45;2.00;2058.21;0.253
92;COLLISION;887;8.87;20.70;987.95;0.250
93;STUCK;1389;13.89;9.89;859.99;0.247
94;STUCK;2701;27.01;22.54;2960.30;0.245
95;FALL;58;0.58;20.44;94.59;0.242
96;STUCK;2456;24.56;10.09;3081.32;0.240
97;STUCK;6694;66.94;7.41;9444.39;0.237
98;FALL;83;0.83;6.79;79.30;0.235
99;FALL;2002;20.02;15.07;3319.01;0.232
100;SUCCESS;975;9.75;1.99;1023.58;0.240
