episodio;resultado;pasos;tiempo_s;distancia_final_m;energia_total;tasa_exito_acum
1;COLLISION;1862;18.62;9.10;2224.17;0.000
2;STUCK;1014;10.14;14.31;856.71;0.000
3;STUCK;2443;24.43;6.02;3056.73;0.000
4;STUCK;800;8.00;10.33;849.48;0.000
5;COLLISION;2108;21.08;5.88;3552.46;0.000
6;SUCCESS;982;9.82;1.99;1889.59;0.167
7;SUCCESS;968;9.68;2.00;2274.05;0.286
8;FALL;1050;10.50;9.07;1836.84;0.250
9;FALL;230;2.30;7.81;276.97;0.222
10;SUCCESS;467;4.67;1.99;1019.66;0.300
11;FALL;186;1.86;8.63;189.46;0.273
12;FALL;1166;11.66;5.69;2082.62;0.250
13;SUCCESS;1707;17.07;2.00;3297.30;0.308
14;FALL;959;9.59;6.12;1470.12;0.286
15;FALL;1000;10.00;15.31;1306.11;0.267
16;STUCK;2000;20.00;9.33;3442.69;0.250
17;STUCK;600;6.00;12.40;431.28;0.235
18;FALL;337;3.37;8.91;905.40;0.222
19;COLLISION;616;6.16;8.61;859.41;0.211
20;STUCK;1700;17.00;3.59;2439.31;0.200
21;STUCK;800;8.00;19.75;1797.06;0.190
22;STUCK;1600;16.00;4.98;3622.07;0.182
23;FALL;897;8.97;12.98;2097.71;0.174
24;SUCCESS;1267;12.67;1.98;2692.63;0.208
25;SUCCESS;1679;16.79;1.99;2714.86;0.240
26;SUCCESS;1426;14.26;1.99;2396.19;0.269
27;FALL;291;2.91;17.72;343.13;0.259
28;FALL;10;0.10;6.92;12.36;0.250
29;STUCK;1400;14.00;4.62;3096.57;0.241
30;FALL;544;5.44;7.38;869.85;0.233
31;STUCK;1400;14.00;7.38;1552.22;0.226
32;FALL;157;1.57;16.22;156.77;0.219
33;FALL;8;0.08;13.42;11.13;0.212
34;FALL;11;0.11;8.92;19.53;0.206
35;STUCK;800;8.00;7.79;1049.24;0.200
36;SUCCESS;463;4.63;2.00;816.32;0.222
37;FALL;920;9.20;8.84;1903.11;0.216
38;FALL;1303;13.03;10.67;1193.97;0.211
39;FALL;1424;14.24;12.61;2043.57;0.205
40;STUCK;1400;14.00;8.13;2735.90;0.200
41;SUCCESS;554;5.54;1.99;1485.08;0.220
42;SUCCESS;800;8.00;2.00;1634.79;0.238
43;STUCK;600;6.00;16.79;484.23;0.233
44;FALL;179;1.79;13.56;311.48;0.227
45;FALL;6;0.06;6.97;6.38;0.222
46;SUCCESS;685;6.85;1.99;1454.94;0.239
47;FALL;15;0.15;18.82;21.29;0.234
48;FALL;215;2.15;17.65;283.04;0.229
49;STUCK;800;8.00;4.90;912.62;0.224
50;STUCK;1600;16.00;2.45;2912.95;0.220
51;FALL;823;8.23;6.39;1918.42;0.216
52;FALL;4;0.04;6.24;3.00;0.212
53;FALL;921;9.21;10.04;1789.65;0.208
54;FALL;541;5.41;12.93;1354.74;0.204
55;STUCK;600;6.00;6.82;584.01;0.200
56;FALL;716;7.16;6.51;967.57;0.196
57;FALL;1691;16.91;4.76;3429.61;0.193
58;STUCK;600;6.00;18.90;474.50;0.190
59;FALL;260;2.60;15.09;300.37;0.186
60;SUCCESS;619;6.19;2.00;1175.72;0.200
61;FALL;7;0.07;19.74;4.30;0.197
62;SUCCESS;1116;11.16;1.99;2415.87;0.210
63;FALL;5;0.05;10.91;4.45;0.206
64;STUCK;700;7.00;5.14;785.05;0.203
65;STUCK;600;6.00;8.59;722.69;0.200
66;FALL;107;1.07;16.79;100.48;0.197
67;STUCK;2200;22.00;11.05;3109.70;0.194
68;STUCK;600;6.00;10.56;1508.57;0.191
69;STUCK;600;6.00;9.29;409.80;0.188
70;FALL;1300;13.00;4.89;2503.73;0.186
71;FALL;575;5.75;13.58;897.77;0.183
72;FALL;119;1.19;10.20;129.45;0.181
73;STUCK;1400;14.00;5.31;1974.66;0.178
74;SUCCESS;1406;14.06;2.00;2566.72;0.189
75;FALL;227;2.27;8.02;177.16;0.187
76;STUCK;2800;28.00;4.53;3731.51;0.184
77;FALL;1189;11.89;7.18;2067.54;0.182
78;SUCCESS;1244;12.44;1.99;2231.93;0.192
79;FALL;538;5.38;12.42;656.56;0.190
80;FALL;697;6.97;3.04;1418.81;0.188
81;STUCK;1400;14.00;9.75;2967.28;0.185
82;STUCK;1100;11.00;11.54;1536.86;0.183
83;STUCK;1200;12.00;16.33;881.59;0.181
84;FALL;34;0.34;23.22;38.02;0.179
85;FALL;11;0.11;15.68;20.34;0.176
86;COLLISION;937;9.37;11.43;1922.21;0.174
87;SUCCESS;482;4.82;2.00;1421.13;0.184
88;FALL;261;2.61;8.63;259.99;0.182
89;STUCK;1400;14.00;8.41;3630.67;0.180
90;STUCK;1200;12.00;9.95;1616.59;0.178
91;STUCK;2600;26.00;2.09;4829.73;0.176
92;STUCK;1700;17.00;7.14;3169.01;0.174
93;STUCK;800;8.00;9.94;846.04;0.172
94;STUCK;800;8.00;4.79;790.86;0.170
95;SUCCESS;2028;20.28;2.00;2307.05;0.179
96;FALL;77;0.77;21.00;90.43;0.177
97;FALL;214;2.14;16.73;167.76;0.175
98;STUCK;600;6.00;11.24;589.63;0.173
99;STUCK;2300;23.00;8.04;6106.53;0.172
100;COLLISION;2678;26.78;9.62;3824.10;0.170
