episodio;resultado;pasos;tiempo_s;distancia_final_m;energia_total;tasa_exito_acum
1;STUCK;800;8.00;6.67;991.74;0.000
2;STUCK;2300;23.00;3.20;4209.84;0.000
3;SUCCESS;254;2.54;1.99;453.88;0.333
4;COLLISION;1207;12.07;11.46;1715.42;0.250
5;STUCK;600;6.00;20.46;510.37;0.200
6;SUCCESS;846;8.46;1.98;2292.08;0.333
7;STUCK;800;8.00;12.59;678.96;0.286
8;STUCK;1400;14.00;10.55;1957.34;0.250
9;COLLISION;2013;20.13;7.17;4647.33;0.222
10;STUCK;1100;11.00;13.30;1135.09;0.200
11;FALL;47;0.47;18.47;46.67;0.182
12;STUCK;1700;17.00;5.29;2774.09;0.167
13;STUCK;1400;14.00;17.51;1669.72;0.154
14;SUCCESS;696;6.96;1.99;1637.15;0.214
15;COLLISION;2094;20.94;5.18;2873.85;0.200
16;SUCCESS;705;7.05;1.99;1505.17;0.250
17;FALL;19;0.19;12.65;15.97;0.235
18;FALL;18;0.18;17.30;18.32;0.222
19;SUCCESS;1409;14.09;2.00;2456.61;0.263
20;FALL;14;0.14;7.91;13.25;0.250
21;SUCCESS;1168;11.68;2.00;1961.82;0.286
22;STUCK;1000;10.00;11.15;1541.13;0.273
23;STUCK;1200;12.00;2.88;1658.95;0.261
24;STUCK;1400;14.00;19.21;2211.32;0.250
25;FALL;9;0.09;19.24;8.60;0.240
26;STUCK;1600;16.00;7.88;2195.51;0.231
27;FALL;121;1.21;11.73;155.70;0.222
28;STUCK;900;9.00;15.36;748.52;0.214
29;FALL;5;0.05;8.59;5.50;0.207
30;STUCK;800;8.00;9.59;1080.99;0.200
31;STUCK;2700;27.00;2.89;2974.55;0.194
32;STUCK;1000;10.00;4.53;1595.04;0.188
33;SUCCESS;995;9.95;2.00;1698.56;0.212
34;SUCCESS;2067;20.67;1.99;3148.38;0.235
35;STUCK;2100;21.00;7.31;2271.86;0.229
36;STUCK;1700;17.00;7.00;2273.39;0.222
37;STUCK;600;6.00;15.93;424.01;0.216
38;SUCCESS;1077;10.77;1.99;1795.60;0.237
39;STUCK;1100;11.00;9.97;1592.16;0.231
40;STUCK;600;6.00;9.85;684.19;0.225
41;STUCK;600;6.00;7.43;363.72;0.220
42;STUCK;2100;21.00;12.15;3243.66;0.214
43;STUCK;1000;10.00;12.70;1016.00;0.209
44;STUCK;600;6.00;9.08;416.14;0.205
45;FALL;54;0.54;13.31;70.92;0.200
46;STUCK;800;8.00;5.43;800.70;0.196
47;SUCCESS;1103;11.03;1.99;3052.06;0.213
48;STUCK;2600;26.00;4.00;3852.01;0.208
49;STUCK;1500;15.00;9.55;2769.25;0.204
50;SUCCESS;437;4.37;2.00;1235.78;0.220
51;COLLISION;1413;14.13;9.05;2311.47;0.216
52;SUCCESS;1103;11.03;2.00;2188.34;0.231
53;COLLISION;800;8.00;10.73;1182.07;0.226
54;FALL;15;0.15;16.20;13.01;0.222
55;STUCK;1000;10.00;15.83;1942.45;0.218
56;SUCCESS;639;6.39;1.99;1738.67;0.232
57;COLLISION;167;1.67;22.68;266.36;0.228
58;FALL;19;0.19;10.09;12.85;0.224
59;STUCK;4000;40.00;12.15;8644.74;0.220
60;STUCK;700;7.00;4.93;901.54;0.217
61;STUCK;600;6.00;17.87;443.74;0.213
62;STUCK;600;6.00;12.31;448.44;0.210
63;STUCK;600;6.00;11.94;492.94;0.206
64;SUCCESS;546;5.46;1.99;675.38;0.219
65;STUCK;600;6.00;18.88;705.28;0.215
66;STUCK;1500;15.00;4.32;1913.23;0.212
67;STUCK;1500;15.00;5.25;2853.84;0.209
68;STUCK;800;8.00;14.18;818.91;0.206
69;SUCCESS;1897;18.97;1.99;2782.01;0.217
70;SUCCESS;774;7.74;1.99;1854.98;0.229
71;SUCCESS;509;5.09;2.00;729.96;0.239
72;STUCK;600;6.00;17.57;429.37;0.236
73;SUCCESS;875;8.75;1.99;1722.46;0.247
74;STUCK;2200;22.00;11.14;3060.27;0.243
75;STUCK;1500;15.00;8.42;2694.19;0.240
76;SUCCESS;569;5.69;2.00;1550.21;0.250
77;STUCK;1200;12.00;8.36;1439.59;0.247
78;SUCCESS;1828;18.28;2.00;3331.05;0.256
79;SUCCESS;1561;15.61;1.99;3891.93;0.266
80;STUCK;1900;19.00;3.42;3259.36;0.263
81;FALL;10;0.10;13.70;15.98;0.259
82;SUCCESS;473;4.73;1.99;1019.27;0.268
83;SUCCESS;1439;14.39;1.99;2332.52;0.277
84;COLLISION;158;1.58;9.88;203.20;0.274
85;STUCK;2700;27.00;5.14;4741.89;0.271
86;FALL;11;0.11;18.70;9.16;0.267
87;SUCCESS;1567;15.67;2.00;3022.76;0.276
88;SUCCESS;1272;12.72;2.00;2855.93;0.284
89;FALL;116;1.16;12.58;156.51;0.281
90;SUCCESS;401;4.01;1.99;888.52;0.289
91;STUCK;900;9.00;17.14;1091.79;0.286
92;STUCK;1700;17.00;13.90;2103.38;0.283
93;SUCCESS;1331;13.31;2.00;1552.38;0.290
94;STUCK;1100;11.00;16.46;1652.87;0.287
95;STUCK;600;6.00;16.93;359.67;0.284
96;STUCK;1600;16.00;4.58;2707.59;0.281
97;STUCK;1000;10.00;11.14;1165.00;0.278
98;SUCCESS;744;7.44;2.00;1866.86;0.286
99;STUCK;600;6.00;4.93;484.83;0.283
100;STUCK;1400;14.00;10.62;1971.63;0.280
