episodio;resultado;pasos;tiempo_s;distancia_final_m;energia_total;tasa_exito_acum
1;SUCCESS;1575;15.75;2.00;3327.86;1.000
2;SUCCESS;1337;13.37;2.00;3096.95;1.000
3;SUCCESS;1232;12.32;1.99;2731.30;1.000
4;SUCCESS;684;6.84;1.99;1650.66;1.000
5;SUCCESS;1314;13.14;1.99;3637.38;1.000
6;SUCCESS;997;9.97;1.99;1493.10;1.000
7;SUCCESS;1399;13.99;1.99;3311.20;1.000
8;SUCCESS;1240;12.40;2.00;2634.86;1.000
9;SUCCESS;730;7.30;2.00;1025.10;1.000
10;SUCCESS;411;4.11;2.00;951.34;1.000
11;SUCCESS;1607;16.07;2.00;1924.28;1.000
12;SUCCESS;1757;17.57;2.00;3971.31;1.000
13;SUCCESS;1677;16.77;2.00;2945.35;1.000
14;SUCCESS;1180;11.80;2.00;3491.95;1.000
15;SUCCESS;2175;21.75;1.99;3851.38;1.000
16;SUCCESS;2002;20.02;1.99;3664.26;1.000
17;SUCCESS;798;7.98;1.99;2212.67;1.000
18;SUCCESS;1605;16.05;1.99;2173.48;1.000
19;SUCCESS;1449;14.49;1.99;2552.76;1.000
20;COLLISION;2288;22.88;5.71;3551.33;0.950
21;SUCCESS;1037;10.37;2.00;3016.90;0.952
22;SUCCESS;1085;10.85;1.99;2734.94;0.955
23;COLLISION;1430;14.30;10.61;2451.22;0.913
24;SUCCESS;1276;12.76;2.00;2761.40;0.917
25;SUCCESS;1662;16.62;2.00;3695.52;0.920
26;SUCCESS;755;7.55;2.00;2066.72;0.923
27;SUCCESS;1316;13.16;2.00;3404.92;0.926
28;SUCCESS;421;4.21;1.99;1212.45;0.929
29;SUCCESS;944;9.44;2.00;1825.22;0.931
30;SUCCESS;1164;11.64;2.00;2067.60;0.933
31;SUCCESS;1066;10.66;2.00;1801.85;0.935
32;SUCCESS;1584;15.84;2.00;3259.13;0.938
33;SUCCESS;1428;14.28;1.99;2726.91;0.939
34;SUCCESS;923;9.23;1.99;1739.34;0.941
35;SUCCESS;1507;15.07;2.00;2600.63;0.943
36;SUCCESS;350;3.50;1.99;664.75;0.944
37;SUCCESS;1059;10.59;1.99;2707.72;0.946
38;SUCCESS;894;8.94;1.99;1304.37;0.947
39;COLLISION;810;8.10;10.34;990.57;0.923
40;SUCCESS;788;7.88;2.00;1671.50;0.925
41;SUCCESS;537;5.37;1.99;1562.74;0.927
42;SUCCESS;786;7.86;1.99;1263.45;0.929
43;SUCCESS;1700;17.00;2.00;3470.98;0.930
44;SUCCESS;1881;18.81;1.99;3641.89;0.932
45;SUCCESS;612;6.12;1.99;1379.88;0.933
46;SUCCESS;540;5.40;2.00;1444.24;0.935
47;SUCCESS;1278;12.78;2.00;3208.15;0.936
48;SUCCESS;1294;12.94;1.99;3091.08;0.938
49;SUCCESS;675;6.75;1.99;1062.66;0.939
50;SUCCESS;858;8.58;1.99;1836.01;0.940
51;SUCCESS;424;4.24;1.99;926.83;0.941
52;SUCCESS;1150;11.50;2.00;1523.19;0.942
53;COLLISION;1132;11.32;5.70;2300.82;0.925
54;SUCCESS;1176;11.76;2.00;2173.74;0.926
55;SUCCESS;567;5.67;2.00;1116.90;0.927
56;SUCCESS;773;7.73;2.00;1683.26;0.929
57;SUCCESS;950;9.50;2.00;1558.44;0.930
58;SUCCESS;1927;19.27;1.99;3742.45;0.931
59;SUCCESS;1083;10.83;1.99;3169.83;0.932
60;SUCCESS;391;3.91;2.00;710.34;0.933
61;COLLISION;416;4.16;16.15;756.42;0.918
62;SUCCESS;1327;13.27;1.99;2686.30;0.919
63;SUCCESS;734;7.34;2.00;1737.31;0.921
64;SUCCESS;428;4.28;1.99;930.40;0.922
65;SUCCESS;975;9.75;1.99;1958.37;0.923
66;SUCCESS;314;3.14;1.99;898.05;0.924
67;SUCCESS;986;9.86;1.99;1848.94;0.925
68;SUCCESS;780;7.80;2.00;1934.64;0.926
69;SUCCESS;1127;11.27;1.99;1903.00;0.928
70;SUCCESS;984;9.84;2.00;2032.90;0.929
71;SUCCESS;1318;13.18;1.99;3012.73;0.930
72;SUCCESS;717;7.17;1.99;1827.79;0.931
73;SUCCESS;988;9.88;2.00;1749.81;0.932
74;SUCCESS;761;7.61;1.99;2092.72;0.932
75;SUCCESS;416;4.16;1.99;970.80;0.933
76;SUCCESS;1930;19.30;2.00;3289.51;0.934
77;SUCCESS;729;7.29;1.99;1638.35;0.935
78;SUCCESS;1029;10.29;2.00;2812.49;0.936
79;SUCCESS;2446;24.46;1.99;3592.02;0.937
80;SUCCESS;1231;12.31;1.99;1588.86;0.938
81;STUCK;1000;10.00;10.04;1716.68;0.926
82;SUCCESS;1134;11.34;1.99;3228.73;0.927
83;STUCK;600;6.00;14.68;486.26;0.916
84;SUCCESS;2059;20.59;2.00;4255.70;0.917
85;SUCCESS;899;8.99;1.99;2638.67;0.918
86;SUCCESS;744;7.44;1.99;2081.00;0.919
87;SUCCESS;457;4.57;1.99;1337.19;0.920
88;SUCCESS;837;8.37;2.00;1954.62;0.920
89;SUCCESS;1165;11.65;1.99;3135.60;0.921
90;SUCCESS;787;7.87;1.99;2174.96;0.922
91;SUCCESS;1546;15.46;1.99;3617.04;0.923
92;SUCCESS;1095;10.95;2.00;2619.86;0.924
93;SUCCESS;787;7.87;1.98;2201.11;0.925
94;SUCCESS;349;3.49;1.99;892.60;0.926
95;SUCCESS;1189;11.89;2.00;1643.89;0.926
96;SUCCESS;504;5.04;2.00;1086.57;0.927
97;SUCCESS;2022;20.22;2.00;4124.43;0.928
98;SUCCESS;1012;10.12;2.00;2294.22;0.929
99;SUCCESS;524;5.24;1.99;1052.77;0.929
100;SUCCESS;1099;10.99;2.00;3071.15;0.930
