episodio;resultado;pasos;tiempo_s;distancia_final_m;energia_total;tasa_exito_acum
1;SUCCESS;785;7.85;1.99;1451.64;1.000
2;STUCK;2818;28.18;2.35;4667.64;0.500
3;SUCCESS;420;4.20;2.00;896.80;0.667
4;STUCK;734;7.34;14.55;489.69;0.500
5;SUCCESS;304;3.04;1.99;584.72;0.600
6;SUCCESS;1470;14.70;1.99;2964.41;0.667
7;SUCCESS;1343;13.43;1.99;3018.38;0.714
8;SUCCESS;1163;11.63;2.00;2814.55;0.750
9;SUCCESS;1120;11.20;1.99;3063.27;0.778
10;SUCCESS;541;5.41;1.99;1566.81;0.800
11;SUCCESS;1061;10.61;1.99;3073.27;0.818
12;SUCCESS;767;7.67;1.99;2273.52;0.833
13;SUCCESS;1730;17.30;2.00;3130.13;0.846
14;SUCCESS;892;8.92;1.99;2638.40;0.857
15;SUCCESS;284;2.84;1.99;768.06;0.867
16;SUCCESS;1265;12.65;2.00;2481.38;0.875
17;SUCCESS;961;9.61;2.00;2566.50;0.882
18;SUCCESS;1755;17.55;2.00;4207.30;0.889
19;SUCCESS;1998;19.98;2.00;4274.26;0.895
20;SUCCESS;662;6.62;1.99;1390.74;0.900
21;SUCCESS;1693;16.93;2.00;4077.36;0.905
22;SUCCESS;913;9.13;1.99;2621.17;0.909
23;SUCCESS;801;8.01;1.99;1815.18;0.913
24;SUCCESS;724;7.24;1.99;1888.23;0.917
25;SUCCESS;1925;19.25;2.00;4525.14;0.920
26;SUCCESS;811;8.11;2.00;2395.00;0.923
27;SUCCESS;1557;15.57;2.00;3522.15;0.926
28;SUCCESS;1833;18.33;2.00;4531.43;0.929
29;SUCCESS;1461;14.61;2.00;2231.24;0.931
30;SUCCESS;678;6.78;1.99;1405.79;0.933
31;SUCCESS;1506;15.06;1.99;3714.05;0.935
32;SUCCESS;443;4.43;1.99;1313.50;0.938
33;SUCCESS;590;5.90;2.00;1675.60;0.939
34;SUCCESS;1439;14.39;2.00;3495.57;0.941
35;SUCCESS;803;8.03;1.99;2031.64;0.943
36;SUCCESS;1005;10.05;1.99;2944.71;0.944
37;SUCCESS;1534;15.34;1.99;3851.07;0.946
38;SUCCESS;665;6.65;1.99;1572.06;0.947
39;COLLISION;998;9.98;5.97;2251.74;0.923
40;SUCCESS;718;7.18;1.99;2044.22;0.925
41;SUCCESS;1321;13.21;2.00;2217.27;0.927
42;SUCCESS;1428;14.28;1.99;3521.44;0.929
43;SUCCESS;1234;12.34;2.00;3122.43;0.930
44;SUCCESS;1392;13.92;1.99;3054.93;0.932
45;SUCCESS;298;2.98;1.99;861.85;0.933
46;SUCCESS;668;6.68;1.99;1914.53;0.935
47;SUCCESS;1071;10.71;1.99;2999.52;0.936
48;SUCCESS;1569;15.69;2.00;3529.40;0.938
49;SUCCESS;1127;11.27;1.99;2628.23;0.939
50;SUCCESS;422;4.22;1.99;1214.00;0.940
51;SUCCESS;2159;21.59;2.00;4994.66;0.941
