episodio;resultado;pasos;tiempo_s;distancia_final_m;energia_total;tasa_exito_acum
1;FALL;13;0.13;7.94;7.29;0.000
2;STUCK;600;6.00;15.44;580.83;0.000
3;SUCCESS;772;7.72;2.00;923.56;0.333
4;STUCK;800;8.00;15.18;780.04;0.250
5;STUCK;600;6.00;19.07;505.62;0.200
6;SUCCESS;1521;15.21;1.99;4179.48;0.333
7;STUCK;600;6.00;13.77;410.44;0.286
8;STUCK;2322;23.22;11.00;2236.25;0.250
9;STUCK;1099;10.99;16.99;1158.68;0.222
10;FALL;17;0.17;18.40;15.40;0.200
11;FALL;27;0.27;18.62;19.98;0.182
12;STUCK;1837;18.37;3.02;2487.80;0.167
13;SUCCESS;2641;26.41;2.00;3514.85;0.231
14;SUCCESS;892;8.92;2.00;1734.16;0.286
15;FALL;27;0.27;16.58;21.34;0.267
16;STUCK;1863;18.63;4.92;2326.45;0.250
17;STUCK;1238;12.38;14.66;1183.16;0.235
18;FALL;5;0.05;17.01;9.34;0.222
19;STUCK;1373;13.73;12.20;1290.24;0.211
20;FALL;9;0.09;7.81;3.63;0.200
21;STUCK;1117;11.17;8.08;1088.78;0.190
22;STUCK;1002;10.02;12.55;1195.44;0.182
23;STUCK;1231;12.31;2.01;1573.67;0.174
24;FALL;115;1.15;20.63;124.06;0.167
25;FALL;5;0.05;19.95;1.10;0.160
26;STUCK;2871;28.71;6.52;2806.01;0.154
27;STUCK;1224;12.24;10.80;959.33;0.148
28;STUCK;748;7.48;16.91;583.18;0.143
29;FALL;4;0.04;8.87;2.53;0.138
30;SUCCESS;1930;19.30;1.99;2603.73;0.167
31;STUCK;2221;22.21;5.39;2248.08;0.161
32;STUCK;1615;16.15;3.45;1743.88;0.156
33;STUCK;2738;27.38;2.81;2458.89;0.152
34;STUCK;2485;24.85;4.44;2787.44;0.147
35;STUCK;760;7.60;15.16;562.24;0.143
36;STUCK;1102;11.02;11.11;904.18;0.139
37;STUCK;775;7.75;15.10;625.93;0.135
38;FALL;14;0.14;8.54;15.65;0.132
39;STUCK;1111;11.11;14.10;1181.55;0.128
40;STUCK;2213;22.13;7.75;2100.68;0.125
41;STUCK;770;7.70;9.57;550.01;0.122
42;STUCK;728;7.28;17.64;454.48;0.119
43;STUCK;723;7.23;15.50;664.08;0.116
44;STUCK;2100;21.00;6.28;2091.40;0.114
45;FALL;43;0.43;17.57;44.82;0.111
46;STUCK;1010;10.10;5.87;1006.49;0.109
47;SUCCESS;1463;14.63;2.00;3058.14;0.128
48;SUCCESS;2637;26.37;2.00;2683.99;0.146
49;COLLISION;1001;10.01;8.53;1399.12;0.143
50;SUCCESS;625;6.25;1.99;1260.46;0.160
51;STUCK;1971;19.71;12.24;2152.05;0.157
52;STUCK;1986;19.86;2.01;2754.42;0.154
53;COLLISION;1113;11.13;13.38;1385.50;0.151
54;STUCK;1115;11.15;21.14;1169.90;0.148
55;STUCK;1754;17.54;13.54;2184.95;0.145
56;SUCCESS;1223;12.23;2.00;2049.42;0.161
57;FALL;28;0.28;21.76;29.00;0.158
58;STUCK;733;7.33;7.01;712.27;0.155
59;STUCK;1377;13.77;17.46;1144.47;0.153
60;SUCCESS;954;9.54;1.99;1290.13;0.167
61;STUCK;760;7.60;18.10;524.88;0.164
62;STUCK;740;7.40;12.47;577.57;0.161
63;STUCK;2381;23.81;2.15;3420.10;0.159
64;STUCK;1225;12.25;2.69;1150.02;0.156
65;STUCK;885;8.85;18.83;790.24;0.154
66;SUCCESS;1941;19.41;2.00;2396.01;0.167
67;STUCK;743;7.43;13.70;626.40;0.164
68;STUCK;1111;11.11;14.22;1117.54;0.162
69;STUCK;2510;25.10;10.92;2179.71;0.159
70;SUCCESS;968;9.68;1.99;1997.68;0.171
71;STUCK;886;8.86;4.49;837.98;0.169
72;STUCK;727;7.27;17.69;470.73;0.167
73;FALL;89;0.89;9.32;93.03;0.164
74;STUCK;722;7.22;20.11;525.03;0.162
75;SUCCESS;5602;56.02;1.98;6649.03;0.173
76;SUCCESS;710;7.10;1.99;1551.68;0.184
77;STUCK;844;8.44;7.81;799.76;0.182
78;FALL;21;0.21;13.52;16.63;0.179
79;STUCK;766;7.66;13.01;739.11;0.177
80;FALL;16;0.16;10.84;10.85;0.175
81;FALL;13;0.13;15.91;8.60;0.173
82;STUCK;1002;10.02;2.65;1352.25;0.171
83;COLLISION;660;6.60;6.26;880.71;0.169
84;FALL;155;1.55;7.66;150.11;0.167
85;STUCK;2232;22.32;5.18;3260.34;0.165
86;FALL;116;1.16;18.59;128.33;0.163
87;STUCK;2115;21.15;11.17;2207.51;0.161
88;STUCK;2208;22.08;8.95;2948.12;0.159
89;FALL;32;0.32;15.98;23.19;0.157
90;SUCCESS;562;5.62;2.00;887.60;0.167
91;STUCK;1121;11.21;17.15;1010.03;0.165
92;FALL;17;0.17;20.56;13.06;0.163
93;SUCCESS;1554;15.54;2.00;1854.01;0.172
94;STUCK;1226;12.26;15.35;1031.93;0.170
95;STUCK;748;7.48;17.29;564.83;0.168
96;STUCK;2076;20.76;5.93;2500.71;0.167
97;FALL;184;1.84;14.37;239.27;0.165
98;SUCCESS;1031;10.31;2.00;1943.06;0.173
99;STUCK;971;9.71;4.09;801.99;0.172
100;STUCK;1987;19.87;7.73;2112.24;0.170
