episodio;resultado;pasos;tiempo_s;distancia_final_m;energia_total;tasa_exito_acum
1;SUCCESS;2216;22.16;1.96;3645.90;1.000
2;SUCCESS;1450;14.50;2.00;2831.61;1.000
3;SUCCESS;2525;25.25;1.98;3588.72;1.000
4;SUCCESS;998;9.98;1.99;2006.74;1.000
5;SUCCESS;1767;17.67;2.00;3637.39;1.000
6;SUCCESS;1350;13.50;1.95;1821.57;1.000
7;SUCCESS;960;9.60;2.00;2388.83;1.000
8;SUCCESS;1072;10.72;2.00;2442.61;1.000
9;SUCCESS;597;5.97;1.99;978.79;1.000
10;SUCCESS;451;4.51;1.99;971.59;1.000
11;SUCCESS;1131;11.31;2.00;1993.43;1.000
12;SUCCESS;1052;10.52;1.98;2900.48;1.000
13;SUCCESS;1910;19.10;1.99;3263.81;1.000
14;SUCCESS;1177;11.77;2.00;3474.07;1.000
15;SUCCESS;1938;19.38;1.99;3764.73;1.000
16;SUCCESS;1980;19.80;2.00;3797.19;1.000
17;SUCCESS;818;8.18;2.00;2259.31;1.000
18;SUCCESS;1466;14.66;1.99;2304.90;1.000
19;COLLISION;1053;10.53;8.44;1174.62;0.947
20;SUCCESS;619;6.19;1.99;1400.40;0.950
21;SUCCESS;1060;10.60;2.00;3101.48;0.952
22;SUCCESS;1058;10.58;2.00;2780.07;0.955
23;SUCCESS;1544;15.44;1.99;3610.98;0.957
24;SUCCESS;1024;10.24;2.00;2566.83;0.958
25;SUCCESS;1244;12.44;1.99;2944.18;0.960
26;SUCCESS;730;7.30;2.00;1939.28;0.962
27;SUCCESS;1182;11.82;1.99;3172.02;0.963
28;SUCCESS;500;5.00;1.99;1381.47;0.964
29;SUCCESS;840;8.40;2.00;1751.13;0.966
30;SUCCESS;897;8.97;1.99;1976.33;0.967
31;SUCCESS;1138;11.38;2.00;1942.59;0.968
32;SUCCESS;1388;13.88;1.98;3221.64;0.969
33;SUCCESS;1328;13.28;1.99;2643.73;0.970
34;SUCCESS;885;8.85;1.99;1750.31;0.971
35;SUCCESS;841;8.41;2.00;1939.01;0.971
36;SUCCESS;361;3.61;2.00;623.67;0.972
37;SUCCESS;966;9.66;1.99;2613.13;0.973
38;SUCCESS;1009;10.09;2.00;1775.29;0.974
39;COLLISION;782;7.82;10.47;991.16;0.949
40;SUCCESS;746;7.46;1.99;1676.25;0.950
41;SUCCESS;467;4.67;2.00;1338.17;0.951
42;SUCCESS;721;7.21;1.99;1289.68;0.952
43;SUCCESS;1516;15.16;2.00;3325.84;0.953
44;SUCCESS;1066;10.66;1.99;2645.37;0.955
45;SUCCESS;1117;11.17;2.00;2631.46;0.956
46;SUCCESS;538;5.38;2.00;1439.86;0.957
47;SUCCESS;1248;12.48;1.99;3287.28;0.957
48;SUCCESS;1380;13.80;1.99;3487.83;0.958
49;SUCCESS;579;5.79;2.00;1027.48;0.959
50;SUCCESS;721;7.21;1.99;1631.25;0.960
51;SUCCESS;499;4.99;2.00;1028.30;0.961
