episodio;resultado;pasos;tiempo_s;distancia_final_m;energia_total;tasa_exito_acum
1;SUCCESS;2566;25.66;1.94;4072.93;1.000
2;SUCCESS;2360;23.60;1.99;3851.10;1.000
3;SUCCESS;2830;28.30;2.00;3662.52;1.000
4;SUCCESS;1775;17.75;2.00;2697.41;1.000
5;SUCCESS;2248;22.48;2.00;3979.88;1.000
6;SUCCESS;1564;15.64;1.99;1727.03;1.000
7;SUCCESS;844;8.44;1.99;2071.53;1.000
8;SUCCESS;1511;15.11;2.00;2446.77;1.000
9;SUCCESS;962;9.62;1.99;1034.29;1.000
10;SUCCESS;777;7.77;1.99;1198.66;1.000
11;SUCCESS;1923;19.23;1.99;2174.85;1.000
12;SUCCESS;2618;26.18;1.99;4624.98;1.000
13;STUCK;754;7.54;16.52;760.91;0.923
14;STUCK;2597;25.97;2.19;4418.08;0.857
15;SUCCESS;3602;36.02;1.97;4715.36;0.867
16;SUCCESS;3017;30.17;2.00;4361.33;0.875
17;SUCCESS;895;8.95;2.00;2027.58;0.882
18;SUCCESS;1944;19.44;2.00;2328.98;0.889
19;STUCK;1504;15.04;9.94;1466.20;0.842
20;SUCCESS;3990;39.90;1.98;5617.54;0.850
21;SUCCESS;1201;12.01;2.00;2862.98;0.857
22;SUCCESS;1666;16.66;2.00;3040.13;0.864
23;COLLISION;1928;19.28;10.15;2433.46;0.826
24;SUCCESS;1858;18.58;2.00;2914.14;0.833
25;SUCCESS;2988;29.88;2.00;4923.07;0.840
26;SUCCESS;1796;17.96;2.00;3198.96;0.846
27;SUCCESS;2031;20.31;2.00;3806.78;0.852
28;SUCCESS;452;4.52;1.99;990.98;0.857
29;SUCCESS;1427;14.27;2.00;1982.42;0.862
30;SUCCESS;1844;18.44;2.00;2431.44;0.867
31;SUCCESS;1964;19.64;1.98;1869.39;0.871
32;COLLISION;1543;15.43;14.40;1577.58;0.844
33;COLLISION;2701;27.01;4.70;3563.13;0.818
34;SUCCESS;1041;10.41;1.96;1630.55;0.824
35;STUCK;867;8.67;8.25;1015.29;0.800
36;SUCCESS;573;5.73;2.00;799.14;0.806
37;SUCCESS;1621;16.21;2.00;2820.22;0.811
38;SUCCESS;2517;25.17;2.00;2805.90;0.816
39;STUCK;741;7.41;12.97;657.73;0.795
40;SUCCESS;1168;11.68;2.00;1901.68;0.800
41;SUCCESS;1223;12.23;1.95;2317.28;0.805
42;SUCCESS;1255;12.55;1.98;1289.62;0.810
43;SUCCESS;2082;20.82;2.00;3593.04;0.814
44;SUCCESS;3196;31.96;2.00;4479.70;0.818
45;SUCCESS;2827;28.27;2.00;4605.67;0.822
46;SUCCESS;867;8.67;2.00;1534.04;0.826
47;SUCCESS;1966;19.66;2.00;3516.14;0.830
48;SUCCESS;1944;19.44;2.00;3240.60;0.833
49;SUCCESS;1239;12.39;2.00;1511.42;0.837
50;SUCCESS;1440;14.40;2.00;2343.93;0.840
51;SUCCESS;897;8.97;2.00;1246.83;0.843
52;SUCCESS;801;8.01;2.00;1020.73;0.846
53;SUCCESS;2946;29.46;1.99;4385.74;0.849
54;SUCCESS;1415;14.15;2.00;1971.86;0.852
55;SUCCESS;643;6.43;2.00;1108.82;0.855
56;SUCCESS;1303;13.03;2.00;1980.25;0.857
57;SUCCESS;1182;11.82;2.00;1607.60;0.860
58;SUCCESS;2100;21.00;1.99;3917.34;0.862
59;SUCCESS;1863;18.63;2.00;4212.20;0.864
60;SUCCESS;578;5.78;2.00;716.68;0.867
61;SUCCESS;2777;27.77;1.99;3717.60;0.869
62;COLLISION;1525;15.25;7.81;1824.66;0.855
63;STUCK;3189;31.89;5.31;3886.30;0.841
64;SUCCESS;857;8.57;2.00;1171.30;0.844
65;STUCK;757;7.57;9.31;605.32;0.831
66;SUCCESS;853;8.53;2.00;1534.52;0.833
67;SUCCESS;1797;17.97;1.99;2184.61;0.836
68;SUCCESS;1580;15.80;2.00;2732.43;0.838
69;SUCCESS;1541;15.41;1.98;1769.27;0.841
70;SUCCESS;2902;29.02;2.00;3614.43;0.843
71;SUCCESS;2731;27.31;2.00;4708.75;0.845
72;SUCCESS;1812;18.12;2.00;2752.16;0.847
73;SUCCESS;1665;16.65;1.99;2286.35;0.849
74;SUCCESS;985;9.85;1.97;2122.74;0.851
75;SUCCESS;883;8.83;2.00;1084.72;0.853
76;STUCK;741;7.41;11.32;551.92;0.842
77;SUCCESS;1234;12.34;1.99;1869.38;0.844
78;SUCCESS;1157;11.57;1.95;2378.23;0.846
79;SUCCESS;4012;40.12;2.00;4457.92;0.848
80;SUCCESS;1448;14.48;1.98;1602.86;0.850
81;COLLISION;1242;12.42;9.30;1926.52;0.840
82;SUCCESS;1593;15.93;1.96;3191.54;0.841
83;SUCCESS;4270;42.70;2.00;6324.56;0.843
84;SUCCESS;4630;46.30;1.99;7117.59;0.845
85;SUCCESS;1228;12.28;2.00;2822.30;0.847
86;SUCCESS;1248;12.48;2.00;2477.13;0.849
87;SUCCESS;561;5.61;2.00;1315.14;0.851
88;SUCCESS;1703;17.03;1.99;2388.01;0.852
89;SUCCESS;1687;16.87;2.00;3430.14;0.854
90;SUCCESS;1980;19.80;2.00;3093.30;0.856
91;SUCCESS;2088;20.88;1.98;3525.20;0.857
92;SUCCESS;1833;18.33;2.00;2812.06;0.859
93;SUCCESS;1502;15.02;2.00;2884.66;0.860
94;SUCCESS;487;4.87;2.00;883.37;0.862
95;SUCCESS;2116;21.16;2.00;2057.27;0.863
96;SUCCESS;1502;15.02;2.00;1877.77;0.865
97;SUCCESS;2981;29.81;2.00;4868.41;0.866
98;SUCCESS;1606;16.06;2.00;2548.04;0.867
99;SUCCESS;838;8.38;2.00;1193.52;0.869
100;SUCCESS;1600;16.00;2.00;3153.96;0.870
