episodio,episode_seed
1,66747
2,70160
3,774765
4,511139
5,797490
6,827308
7,165959
8,736130
9,260217
10,506005
11,230274
12,387141
13,215981
14,20811
15,134834
16,740831
17,195091
18,887039
19,861100
20,358865
21,103703
22,529583
23,358755
24,707505
25,580475
26,620548
27,732496
28,747882
29,396251
30,245257
31,686345
32,210546
33,517538
34,485391
35,252806
36,770779
37,2579
38,483912
39,447958
40,486460
41,711577
42,451248
43,269953
44,283041
45,635241
46,294779
47,369534
48,852680
49,175666
50,852200
51,644354
52,615833
53,441521
54,496697
55,30104
56,537164
57,711404
58,67260
59,930664
60,176943
61,94812
62,418076
63,339880
64,14960
65,819659
66,19728
67,869602
68,730589
69,768005
70,364055
71,738253
72,711179
73,439082
74,374640
75,647288
76,652454
77,259631
78,75715
79,72265
80,285696
81,251015
82,879816
83,572217
84,544050
85,600903
86,70512
87,769025
88,20841
89,455287
90,715641
91,59375
92,935319
93,553248
94,271016
95,391649
96,293502
97,111369
98,254993
99,463381
100,615514
