terrain,outcome,outcome_label,n_both_success,rl_median,rl_q1,rl_q3,heuristic_median,heuristic_q1,heuristic_q3,median_paired_diff_rl_minus_heuristic,wilcoxon_statistic,wilcoxon_p,rank_biserial_rl_minus_heuristic,wilcoxon_holm_p_within_outcome,wilcoxon_holm_reject_0_05
V3_F3_02,tiempo_s,time-to-success (s),79,15.8,11.625,19.73,7.82,5.84,11.14,7.130000000000001,109.0,6.532015369927776e-13,0.9310126582278481,3.919209221956665e-12,True
V3_F3_02,energia_total,cumulative actuation-effort proxy,79,2378.23,1678.79,3335.37,2223.0,1545.0,3145.35,79.13999999999999,1220.0,0.07851892129115462,0.22784810126582278,0.3925946064557731,False
BigRock,tiempo_s,time-to-success (s),75,10.43,6.59,12.915,8.69,5.4399999999999995,12.48,0.6799999999999997,794.0,0.0008620554964124766,0.44280701754385965,0.0025861664892374296,True
BigRock,energia_total,cumulative actuation-effort proxy,75,2220.5,1533.87,3134.795,2342.2,1585.5,3247.5,-68.67000000000007,671.0,6.847024262415982e-05,-0.5291228070175439,0.00041082145574495893,True
HardTerrain,tiempo_s,time-to-success (s),85,9.37,6.9,13.21,9.01,6.15,12.28,0.3099999999999996,1374.5,0.04715024203810278,0.2478796169630643,0.04715024203810278,True
HardTerrain,energia_total,cumulative actuation-effort proxy,85,2467.46,1688.58,3122.43,2542.67,1614.0,3237.99,-14.320000000000164,1564.0,0.24825650655669085,-0.14418604651162792,0.7447695196700725,False
BumpyGround,tiempo_s,time-to-success (s),26,10.760000000000002,5.8525,20.115000000000002,6.965,4.8475,9.35,4.275,11.0,1.6391277313232422e-06,0.9373219373219374,8.195638656616211e-06,True
BumpyGround,energia_total,cumulative actuation-effort proxy,26,2051.85,1321.9524999999999,3363.925,1931.325,1454.25,2624.605,-10.404999999999973,142.0,0.4082431197166443,0.1908831908831909,0.8164862394332886,False
Complete,tiempo_s,time-to-success (s),16,9.805,8.07,18.335,5.615,4.262499999999999,8.695,5.425,3.0,0.000152587890625,0.9558823529411765,0.0006103515625,True
Complete,energia_total,cumulative actuation-effort proxy,16,1550.595,1060.8174999999999,2057.3175,1376.075,1133.025,2223.75,-48.045000000000016,57.0,0.596588134765625,-0.16176470588235295,0.8164862394332886,False
DeepHoles,tiempo_s,time-to-success (s),11,6.85,5.18,10.42,5.93,5.055,7.355,1.4600000000000009,3.0,0.0048828125,0.9090909090909091,0.009765625,True
DeepHoles,energia_total,cumulative actuation-effort proxy,11,1485.08,1298.4250000000002,2252.99,1779.0,1516.5,2140.355,-108.25,16.0,0.1474609375,-0.5151515151515151,0.58984375,False
