terrain,system,n,success_n,success_pct,stuck_n,stuck_pct,fall_n,fall_pct,collision_n,collision_pct,spin_n,spin_pct,collision_stay_n,collision_stay_pct
V3_F3_02,RL,100,87,87.0,8,8.0,0,0.0,5,5.0,0,0.0,0,0.0
V3_F3_02,HEU,100,89,89.0,10,10.0,0,0.0,1,1.0,0,0.0,0,0.0
BigRock,RL,100,86,86.0,5,5.0,0,0.0,9,9.0,0,0.0,0,0.0
BigRock,HEU,100,83,83.0,15,15.0,0,0.0,2,2.0,0,0.0,0,0.0
HardTerrain,RL,100,95,95.0,4,4.0,0,0.0,1,1.0,0,0.0,0,0.0
HardTerrain,HEU,100,90,90.0,8,8.0,0,0.0,2,2.0,0,0.0,0,0.0
BumpyGround,RL,100,31,31.0,46,46.0,16,16.0,7,7.000000000000001,0,0.0,0,0.0
BumpyGround,HEU,100,70,70.0,10,10.0,15,15.0,5,5.0,0,0.0,0,0.0
Complete,RL,100,19,19.0,33,33.0,35,35.0,13,13.0,0,0.0,0,0.0
Complete,HEU,100,49,49.0,8,8.0,34,34.0,9,9.0,0,0.0,0,0.0
DeepHoles,RL,100,17,17.0,35,35.0,43,43.0,5,5.0,0,0.0,0,0.0
DeepHoles,HEU,100,42,42.0,10,10.0,47,47.0,1,1.0,0,0.0,0,0.0
